conference,session_id,n_chunks,cdp_bins_with_data,cdp_coverage,heuristic_match_rate,corr_s2share_vs_decision,switches,first_convergent_chunk,gemini_sequence
2021CMC,2021_10_07_CMC_S1,8,5,0.625,0.286,0.189,3,7,procedural>divergent>divergent>divergent>divergent>divergent>convergent>procedural
2021CMC,2021_10_07_CMC_S2,8,8,1.0,0.571,-0.423,2,6,divergent>divergent>divergent>divergent>divergent>convergent>convergent>procedural
2021CMC,2021_10_07_CMC_S3,7,5,0.714,0.333,-0.221,1,3,divergent>divergent>convergent>convergent>convergent>convergent>convergent
2021CMC,2021_10_07_CMC_S4,7,5,0.714,0.25,-0.408,1,6,divergent>divergent>divergent>divergent>divergent>convergent>convergent
2021CMC,2021_10_07_CMC_S5,8,3,0.375,0.25,-0.887,1,-1,divergent>divergent>divergent>divergent>divergent>procedural>procedural>procedural
2021CMC,2021_10_07_CMC_S6,8,7,0.875,0.667,0.744,2,7,divergent>divergent>divergent>divergent>divergent>divergent>convergent>procedural
2021CMC,2021_10_07_CMC_S7,8,6,0.75,0.625,0.206,0,-1,divergent>divergent>divergent>divergent>divergent>divergent>divergent>divergent
2021CMC,2021_10_08_CMC_S1,8,8,1.0,0.375,-0.159,4,8,procedural>divergent>divergent>divergent>divergent>ambiguous>procedural>convergent
2021CMC,2021_10_08_CMC_S10,8,7,0.875,0.667,0.3,2,7,ambiguous>divergent>divergent>divergent>divergent>divergent>convergent>convergent
2021CMC,2021_10_08_CMC_S11,8,7,0.875,0.143,-0.243,2,7,procedural>divergent>divergent>divergent>divergent>divergent>convergent>convergent
2021CMC,2021_10_08_CMC_S12,8,5,0.625,0.375,0.818,2,6,procedural>divergent>divergent>divergent>divergent>convergent>convergent>convergent
2021CMC,2021_10_08_CMC_S13,8,7,0.875,0.375,-0.051,2,7,procedural>divergent>divergent>divergent>divergent>divergent>convergent>convergent
2021CMC,2021_10_08_CMC_S14,8,8,1.0,0.0,0.241,2,-1,procedural>ambiguous>ambiguous>ambiguous>ambiguous>ambiguous>ambiguous>procedural
2021CMC,2021_10_08_CMC_S2,8,4,0.5,0.143,-0.399,1,6,divergent>divergent>divergent>divergent>divergent>convergent>convergent>convergent
2021CMC,2021_10_08_CMC_S3,8,5,0.625,0.375,-0.892,2,7,procedural>divergent>divergent>divergent>divergent>divergent>convergent>convergent
2021CMC,2021_10_08_CMC_S4,8,6,0.75,0.143,0.089,2,6,procedural>divergent>divergent>divergent>divergent>convergent>convergent>convergent
2021CMC,2021_10_08_CMC_S5,8,7,0.875,0.333,0.519,3,8,procedural>divergent>divergent>divergent>divergent>ambiguous>ambiguous>convergent
2021CMC,2021_10_08_CMC_S6,8,7,0.875,0.25,-0.422,3,8,procedural>procedural>divergent>divergent>divergent>divergent>ambiguous>convergent
2021CMC,2021_10_08_CMC_S7,8,7,0.875,0.429,0.004,2,7,procedural>procedural>divergent>divergent>divergent>divergent>convergent>convergent
2021CMC,2021_10_08_CMC_S8,8,5,0.625,0.375,nan,2,-1,procedural>divergent>divergent>divergent>divergent>divergent>divergent>procedural
2021CMC,2021_10_08_CMC_S9,8,5,0.625,0.333,nan,2,-1,divergent>divergent>divergent>divergent>divergent>divergent>ambiguous>procedural
2020NES,2020_11_05_NES_S1,8,5,0.625,0.5,0.28,1,7,divergent>divergent>divergent>divergent>divergent>divergent>convergent>convergent
2020NES,2020_11_05_NES_S2,8,1,0.125,0.0,nan,2,-1,procedural>divergent>divergent>divergent>divergent>divergent>divergent>ambiguous
2020NES,2020_11_05_NES_S3,6,3,0.5,0.167,-0.896,2,6,divergent>divergent>divergent>divergent>ambiguous>convergent
2020NES,2020_11_05_NES_S4,8,4,0.5,0.25,-0.353,2,7,procedural>divergent>divergent>divergent>divergent>divergent>convergent>convergent
2020NES,2020_11_05_NES_S5,8,2,0.25,0.143,-1.0,5,7,procedural>divergent>procedural>divergent>divergent>divergent>convergent>procedural
2020NES,2020_11_05_NES_S6,8,2,0.25,0.0,nan,2,-1,divergent>divergent>divergent>divergent>divergent>divergent>ambiguous>divergent
2020NES,2020_11_06_NES_S1,7,3,0.429,0.167,nan,2,-1,divergent>divergent>divergent>divergent>ambiguous>divergent>divergent
2020NES,2020_11_06_NES_S10,6,3,0.5,0.5,-0.5,0,-1,divergent>divergent>divergent>divergent>divergent>divergent
2020NES,2020_11_06_NES_S11,7,5,0.714,0.5,0.791,1,-1,divergent>divergent>divergent>divergent>divergent>divergent>ambiguous
2020NES,2020_11_06_NES_S12,8,5,0.625,0.429,nan,3,-1,procedural>divergent>divergent>procedural>divergent>divergent>divergent>divergent
2020NES,2020_11_06_NES_S2,9,5,0.556,0.125,-0.011,3,6,procedural>procedural>divergent>divergent>divergent>convergent>convergent>convergent>procedural
2020NES,2020_11_06_NES_S3,4,1,0.25,0.0,nan,2,3,divergent>divergent>convergent>ambiguous
2020NES,2020_11_06_NES_S4,8,2,0.25,0.25,nan,2,8,procedural>divergent>divergent>divergent>divergent>divergent>divergent>convergent
2020NES,2020_11_06_NES_S7,6,4,0.667,0.2,nan,2,-1,procedural>divergent>divergent>divergent>divergent>ambiguous
2020NES,2020_11_06_NES_S8,8,6,0.75,0.143,0.088,5,7,procedural>divergent>divergent>divergent>ambiguous>divergent>convergent>procedural
2020NES,2020_11_06_NES_S9,8,3,0.375,0.125,nan,2,-1,procedural>divergent>divergent>divergent>divergent>divergent>divergent>procedural
