session_id,conference,match_rate,matches,total_bins,cdp_score2_share,entropy_mean,entropy_variance,score2_gemini_correlation,mismatches_count
2020_11_05_NES_S1,NES,0.0,0,8,0.7162162162162162,-0.7835725116684182,0.007890399592424269,0.0,0
2020_11_05_NES_S2,NES,0.0,0,8,0.6764705882352942,-0.7233649103475257,0.10551821392538609,0.0,0
2020_11_05_NES_S3,NES,0.0,0,8,0.5631067961165048,-0.6082085917798229,0.15813620298502168,0.0,0
2020_11_05_NES_S4,NES,0.0,0,8,0.5128205128205128,-0.6795749100442277,0.09625983668653064,0.0,0
2020_11_05_NES_S5,NES,0.0,0,8,0.4782608695652174,-0.4114680501758774,0.1998381403355344,0.0,0
2020_11_05_NES_S6,NES,0.0,0,8,0.6037735849056604,-0.6376186893958427,0.17526384234937278,0.0,0
2020_11_06_NES_S1,NES,0.0,0,8,0.7398373983739838,-0.712911618696628,0.0913060113710956,0.0,0
2020_11_06_NES_S10,NES,0.0,0,8,0.7279411764705882,-0.7489838445021975,0.11012069172234722,0.0,0
2020_11_06_NES_S11,NES,0.0,0,8,0.6114285714285714,-0.6668845569113198,0.0792069209693895,0.0,0
2020_11_06_NES_S12,NES,0.0,0,8,0.6139240506329114,-0.7185650426776778,0.010199935191051494,0.0,0
2020_11_06_NES_S2,NES,0.0,0,8,0.6474820143884892,-0.6601870831343082,0.08437335034098674,0.0,0
2020_11_06_NES_S3,NES,0.0,0,8,0.6212121212121212,-0.49416396239822485,0.17760351424823723,0.0,0
2020_11_06_NES_S4,NES,0.0,0,8,0.7159763313609467,-0.80018323428859,0.01020639072543398,0.0,0
2020_11_06_NES_S7,NES,0.0,0,8,0.6818181818181818,-0.6717944258148358,0.08166750916029414,0.0,0
2020_11_06_NES_S8,NES,0.0,0,8,0.5174129353233831,-0.7732832444648666,0.02163037677431273,0.0,0
2020_11_06_NES_S9,NES,0.0,0,8,0.6195286195286195,-0.7412871634577922,0.0076114316784821456,0.0,0
2021_10_07_CMC_S1,CMC,0.125,1,8,0.5483870967741935,-0.7019495606969088,0.006538893835036842,0.01902460693627266,7
2021_10_07_CMC_S2,CMC,0.125,1,8,0.5748987854251012,-0.7487802488255253,0.008305466568948271,-0.33383136712919925,7
2021_10_07_CMC_S3,CMC,0.375,3,8,0.5633333333333334,-0.7155794472554659,0.013974856787307541,0.0,4
2021_10_07_CMC_S4,CMC,0.125,1,8,0.6228070175438597,-0.7760837446188019,0.012928492808991339,0.0,6
2021_10_07_CMC_S5,CMC,0.125,1,8,0.558303886925795,-0.7061511325917841,0.01650932149119246,-0.29155223476563535,7
2021_10_07_CMC_S6,CMC,0.125,1,8,0.5479041916167665,-0.6775304359677689,0.0005011846257195658,0.4210308715201542,7
2021_10_07_CMC_S7,CMC,0.125,1,8,0.6198347107438017,-0.7277647551466285,0.015839251058002147,0.5650271540159081,7
2021_10_08_CMC_S1,CMC,0.25,2,8,0.44224422442244227,-0.6628153059924211,0.0029328420238458643,-0.5329484884534392,6
2021_10_08_CMC_S10,CMC,0.125,1,8,0.6012461059190031,-0.7083021357383714,0.007313761256849364,0.17478613493814024,7
2021_10_08_CMC_S11,CMC,0.25,2,8,0.6105919003115264,-0.7444559782842034,0.006633946681996498,-0.04029496979396136,6
2021_10_08_CMC_S12,CMC,0.375,3,8,0.6199095022624435,-0.6352574420062704,0.07318342162494426,-0.07641377058583389,5
2021_10_08_CMC_S13,CMC,0.125,1,8,0.49299719887955185,-0.7433891361722325,0.010993553006266112,-0.5284331193898559,7
2021_10_08_CMC_S14,CMC,0.125,1,8,0.5069444444444444,-0.6822425913511946,0.004677934206533554,0.4955406417902845,7
2021_10_08_CMC_S2,CMC,0.25,2,8,0.5081967213114754,-0.6855792582042595,0.0021893301638487863,-0.1541915507600202,6
2021_10_08_CMC_S3,CMC,0.0,0,8,0.4863013698630137,-0.5808227456496847,0.055949166258485526,-0.5255740634043568,8
2021_10_08_CMC_S4,CMC,0.375,3,8,0.5928571428571429,-0.7771155690864576,0.012356689916103145,-0.38363038432946545,5
2021_10_08_CMC_S5,CMC,0.125,1,8,0.44936708860759494,-0.6805051948142815,0.006560457633657316,-0.30225225739948847,7
2021_10_08_CMC_S6,CMC,0.125,1,8,0.5018181818181818,-0.632103740776638,0.0005937322516262362,0.3827110614106972,7
2021_10_08_CMC_S7,CMC,0.375,3,8,0.4830188679245283,-0.664760858232212,0.0012086914035100054,0.5953362902020134,5
2021_10_08_CMC_S8,CMC,0.0,0,8,0.5559322033898305,-0.7095479280425339,0.016121537945053,0.0,8
2021_10_08_CMC_S9,CMC,0.25,2,8,0.5210355987055016,-0.5782110154442817,0.05762399522605345,0.0,6
