chunk_id,conference_id,session_key,session_group,chunk_file_name,chunk_path,gemini_file_ref,chunk_index,n_chunks_in_session,chunk_position,analyzed,model_used,num_teams,num_funded_teams,has_teams,has_funded_teams,human_validation_set,utterance_validation_set,oversampled_for,outcome_has_funded_teams
2020NES__2020_11_05_NES_S5/Zoom_Meeting_11_5_2020_12_17_50_PM__Zoom_Meeting_11_5_2020_12_17_50_PM.mp4,2020NES,2020_11_05_NES_S5/Zoom_Meeting_11_5_2020_12_17_50_PM,2020_11_05_NES_S5,Zoom_Meeting_11_5_2020_12_17_50_PM.mp4,/home/jhs0727/p32824/scialog/2020NES/2020_11_05_NES_S5/Zoom_Meeting_11_5_2020_12_17_50_PM.mp4,files/v29biz03mi07,0,1,whole,True,gemini-3.1-pro-preview,1.0,1.0,True,True,False,False,,True
2020NES__2020_11_05_NES_S5/Zoom_Meeting_11_5_2020_12_11_13_PM__Zoom_Meeting_11_5_2020_12_11_13_PM.mp4,2020NES,2020_11_05_NES_S5/Zoom_Meeting_11_5_2020_12_11_13_PM,2020_11_05_NES_S5,Zoom_Meeting_11_5_2020_12_11_13_PM.mp4,/home/jhs0727/p32824/scialog/2020NES/2020_11_05_NES_S5/Zoom_Meeting_11_5_2020_12_11_13_PM.mp4,files/3ps3pbnz8s7j,0,1,whole,True,gemini-3.1-pro-preview,1.0,1.0,True,True,False,False,,True
2020NES__2020_11_05_NES_S5/5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_11_58_06_AM__5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_11_58_06_AM_chunk1.mp4,2020NES,2020_11_05_NES_S5/5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_11_58_06_AM,2020_11_05_NES_S5,5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_11_58_06_AM_chunk1.mp4,/home/jhs0727/p32824/scialog/2020NES/2020_11_05_NES_S5/split-5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_11_58_06_AM/5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_11_58_06_AM_chunk1.mp4,files/5l864yw7gp69,0,2,beginning,True,gemini-3.1-pro-preview,1.0,1.0,True,True,False,False,,True
2020NES__2020_11_05_NES_S5/5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_11_58_06_AM__5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_11_58_06_AM_chunk2.mp4,2020NES,2020_11_05_NES_S5/5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_11_58_06_AM,2020_11_05_NES_S5,5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_11_58_06_AM_chunk2.mp4,/home/jhs0727/p32824/scialog/2020NES/2020_11_05_NES_S5/split-5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_11_58_06_AM/5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_11_58_06_AM_chunk2.mp4,files/bw6fje6xkvn4,1,2,end,True,gemini-3.1-pro-preview,1.0,1.0,True,True,False,False,,True
2020NES__2020_11_05_NES_S5/5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_12_19_34_PM__5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_12_19_34_PM_chunk1.mp4,2020NES,2020_11_05_NES_S5/5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_12_19_34_PM,2020_11_05_NES_S5,5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_12_19_34_PM_chunk1.mp4,/home/jhs0727/p32824/scialog/2020NES/2020_11_05_NES_S5/split-5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_12_19_34_PM/5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_12_19_34_PM_chunk1.mp4,files/tymsnem88nyo,0,6,beginning,True,gemini-3.1-pro-preview,1.0,1.0,True,True,False,False,,True
2020NES__2020_11_05_NES_S5/5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_12_19_34_PM__5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_12_19_34_PM_chunk2.mp4,2020NES,2020_11_05_NES_S5/5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_12_19_34_PM,2020_11_05_NES_S5,5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_12_19_34_PM_chunk2.mp4,/home/jhs0727/p32824/scialog/2020NES/2020_11_05_NES_S5/split-5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_12_19_34_PM/5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_12_19_34_PM_chunk2.mp4,files/wg50np2i7c9f,1,6,middle,True,gemini-3.1-pro-preview,1.0,1.0,True,True,False,False,,True
2020NES__2020_11_05_NES_S5/5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_12_19_34_PM__5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_12_19_34_PM_chunk3.mp4,2020NES,2020_11_05_NES_S5/5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_12_19_34_PM,2020_11_05_NES_S5,5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_12_19_34_PM_chunk3.mp4,/home/jhs0727/p32824/scialog/2020NES/2020_11_05_NES_S5/split-5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_12_19_34_PM/5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_12_19_34_PM_chunk3.mp4,files/k6pazjp6v7vk,2,6,middle,True,gemini-3.1-pro-preview,1.0,1.0,True,True,False,False,,True
2020NES__2020_11_05_NES_S5/5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_12_19_34_PM__5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_12_19_34_PM_chunk4.mp4,2020NES,2020_11_05_NES_S5/5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_12_19_34_PM,2020_11_05_NES_S5,5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_12_19_34_PM_chunk4.mp4,/home/jhs0727/p32824/scialog/2020NES/2020_11_05_NES_S5/split-5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_12_19_34_PM/5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_12_19_34_PM_chunk4.mp4,files/79utirbqpu7w,3,6,middle,True,gemini-3.1-pro-preview,1.0,1.0,True,True,False,False,,True
2020NES__2020_11_05_NES_S5/5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_12_19_34_PM__5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_12_19_34_PM_chunk5.mp4,2020NES,2020_11_05_NES_S5/5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_12_19_34_PM,2020_11_05_NES_S5,5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_12_19_34_PM_chunk5.mp4,/home/jhs0727/p32824/scialog/2020NES/2020_11_05_NES_S5/split-5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_12_19_34_PM/5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_12_19_34_PM_chunk5.mp4,files/hqzd9av1wpdf,4,6,middle,True,gemini-3.1-pro-preview,1.0,1.0,True,True,False,False,,True
2020NES__2020_11_05_NES_S5/5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_12_19_34_PM__5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_12_19_34_PM_chunk6.mp4,2020NES,2020_11_05_NES_S5/5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_12_19_34_PM,2020_11_05_NES_S5,5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_12_19_34_PM_chunk6.mp4,/home/jhs0727/p32824/scialog/2020NES/2020_11_05_NES_S5/split-5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_12_19_34_PM/5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_12_19_34_PM_chunk6.mp4,files/6qe6v5s7bzgc,5,6,end,True,gemini-3.1-pro-preview,1.0,1.0,True,True,False,False,,True
