session_id,n_cdp_score1,n_cdp_score2,pct_score1,pct_score2,mean_tokens_score1,mean_tokens_score2,sample_score1,sample_score2,conference
2020_11_05_NES_S1,7,3,70.0,30.0,95.85714285714286,73.0,"So I will get to Kristen's comments first and I'll go to yours, right? So there's a huge research ar | So since I want this to be more open-ended than me answering all the questions, I'm going to try to ",unless you're going to dispose it there or use it there. So these are the questions when you try to  | You can feel free to change it.,2020NES
2020_11_05_NES_S2,1,4,20.0,80.0,30.0,20.75,Okay. Awesome. Great. So then let's just do the super brief introductions and we'll dive right in an,Alright. We'll wait a minute or two for everybody to cycle in and we'll choose a scribe and recorder | I can be the scribe. This is Shu from Yale.,2020NES
2020_11_05_NES_S3,6,5,54.54545454545455,45.45454545454545,27.833333333333332,69.6,So part of what we want to do here is uh connect people who have interests that are you know but dif | Yeah sure. I yeah sure. So I've been furiously typing because you guys have been getting a lot of ve,That's traditionally why we use membranes for high pressure gas mixture separations and adsorptive t | Great. So I'd like to we're we're actually at about eight minutes from close here. So I'd like to tr,2020NES
2020_11_05_NES_S4,7,3,70.0,30.0,60.57142857142857,64.0,All right thank you. Charles. | Thank you. Chong.,of the things that we can. Okay so that's the first one. And while we're doing this we also want to  | Okay thank you. There's a bot number four. Who's bot? Is this a something that is bot number four ha,2020NES
2020_11_05_NES_S5,6,1,85.71428571428571,14.285714285714286,25.0,70.0,But one that I've seen that I'm also concerned about and Julia articulated this well in a way I hadn | We're being chased because we haven't put this into the into the the correct format.,as long as we're talking about the issues of the more societal aspects of decarbonizing the economy ,2020NES
2020_11_05_NES_S6,0,3,0.0,100.0,,89.66666666666667,,Right and it's it's a couple of things right it depends on who you talk to and what they're specific | That's great so this is I mean where SciLog comes in right you can have teams of up to three right a,2020NES
2020_11_06_NES_S1,3,1,75.0,25.0,87.0,10.0,in a broader group or if you encounter folks from ASU to see if they know. | So I think we have about 15 minutes left and I want to try one other idea to stir some some differen,No it fits here for sure and I know Katherine's thought about it a lot.,2020NES
2020_11_06_NES_S10,4,1,80.0,20.0,29.5,44.0,"I'll open the follow-up questions sorry. Go ahead. | Okay, it's been a couple of minutes, so I'm going to open the floor. Who wants to give their idea fi",We're closing into 10 minutes before we have to leave the room and report out. And I want to make su,2020NES
2020_11_06_NES_S11,6,2,75.0,25.0,30.833333333333332,211.5,too. You know ultimately we want to get to gigatons as well. | So okay so there was a question about jet fuel I don't know I don't know what I'm doing here as a re,Yeah I mean ultimately we just want to have an open discussion and brainstorm about any approaches.  | So that's a a wonderful way to work together because so often these are two decoupled processes wher,2020NES
2020_11_06_NES_S12,7,2,77.77777777777777,22.22222222222222,12.857142857142858,53.5,"No, it's okay. We are supposed to talk about thermochemical reaction as well. | Yeah you're good at tracking time that's great. So why don't we go to can you all look at the PPT fi",I agree and and I think what I'm saying is that the the the optimal absorption or optimal capture pr | You're okay. Okay. So I think the only thing we did not talk about is electrochemistry plus the ther,2020NES
2020_11_06_NES_S2,11,10,52.38095238095238,47.61904761904762,48.18181818181818,71.3,Alright it's just about time for us to get going. I'm going to ask folks to mute and just welcome fo | So that's the basic idea but I also before we hold on a second here before we break out into groups ,And just give you a quick overview of the the agenda for today. So we're going in the process right  | So I think maybe in the chat indicate if you're interested in that and we'll see if we can get that ,2020NES
2020_11_06_NES_S3,1,1,50.0,50.0,25.0,17.0,"Yeah, it's like it's like 30% of the current warming. Dan, why don't we put in the chat box for the ","No, no, in the main, we'll put it in the main chat for the people there. You can grab it in the main",2020NES
2020_11_06_NES_S4,4,4,50.0,50.0,20.0,59.0,Other thoughts that you'd like Jenny to get into the report out here? I I I really enjoyed the overp | Feng Lin.,"So we're in our closing moments here. The conversation, I'd like to make sure that we get comments f | So good morning. The way I did this yesterday worked out fine is we went around did our introduction",2020NES
2020_11_06_NES_S7,11,6,64.70588235294117,35.294117647058826,10.727272727272727,33.0,I was muted sorry. I can do it if nobody else wants to. | Thanks Lindsey. You know you just type right into the PowerPoint right?,facilitator and I guess our first order of business is to find a volunteer to report out so it shoul | Yeah 30 is correct.,2020NES
2020_11_06_NES_S8,16,14,53.333333333333336,46.666666666666664,20.4375,37.357142857142854,just about ready to start just have a couple more another minute. | Yeah there's still a lot of people who aren't back yet so we'll wait sort of watching people come ba,"Okay we're going to be going into Beyond CO2, Frontiers for Electrochemistry, New Ideas and Opportun | Okay so not everyone is back yet but we're going to go ahead and open the rooms that way the transit",2020NES
