conference,session_id,n_utterances,outcome,entropy_beginning,n_cdp_beginning,n_unique_cdp_beginning,entropy_middle,n_cdp_middle,n_unique_cdp_middle,entropy_end,n_cdp_end,n_unique_cdp_end
2020NES,2020_11_05_NES_S1,82,,0.9182958340544896,3,2,0.8112781244591328,4,2,0.9182958340544896,3,2
2020NES,2020_11_05_NES_S2,67,,0.7219280948873623,5,2,,0,0,,0,0
2020NES,2020_11_05_NES_S3,45,,0.0,1,1,0.0,1,1,0.9910760598382222,9,2
2020NES,2020_11_05_NES_S4,41,,0.9709505944546686,5,2,1.0,2,2,0.0,3,1
2020NES,2020_11_05_NES_S5,28,,1.0,2,2,,0,0,0.0,5,1
2020NES,2020_11_05_NES_S6,23,,0.0,2,1,1.0,2,2,,0,0
2020NES,2020_11_06_NES_S1,56,,,0,0,0.0,1,1,0.9182958340544896,3,2
2020NES,2020_11_06_NES_S10,71,,,0,0,0.9182958340544896,3,2,0.0,2,1
2020NES,2020_11_06_NES_S11,86,,0.8112781244591328,4,2,1.0,2,2,0.0,2,1
2020NES,2020_11_06_NES_S12,89,,0.0,1,1,0.9182958340544896,6,2,0.9182958340544896,3,2
2020NES,2020_11_06_NES_S2,77,,0.9544340029249649,8,2,1.0,2,2,0.9456603046006402,11,2
2020NES,2020_11_06_NES_S3,38,,,0,0,,0,0,1.0,2,2
2020NES,2020_11_06_NES_S4,88,,0.0,1,1,0.9709505944546686,5,2,0.9182958340544896,3,2
2020NES,2020_11_06_NES_S7,80,,0.9456603046006402,11,2,0.0,1,1,0.9709505944546686,5,2
2020NES,2020_11_06_NES_S8,120,,0.9709505944546686,20,2,0.9852281360342516,7,2,0.9182958340544896,3,2
2020NES,2020_11_06_NES_S9,160,,0.8366407419411673,15,2,,0,0,0.7219280948873623,10,2
2021ABI,2021_05_20_ABI_S1,121,,0.5916727785823275,14,2,0.0,5,1,0.7827759528141421,11,3
2021ABI,2021_05_20_ABI_S2,287,,0.8175195311866703,13,3,0.672294817075638,17,2,0.8314743880097293,19,2
2021ABI,2021_05_20_ABI_S3,151,,0.8118126881672663,15,3,0.9182958340544896,3,2,0.9940302114769565,11,2
2021ABI,2021_05_20_ABI_S4,228,,0.930586129131993,26,2,0.5435644431995964,8,2,0.8112781244591328,12,2
2021ABI,2021_05_20_ABI_S5,235,,0.797374810639693,14,3,0.7725068857142601,9,3,0.576217395521696,19,3
2021ABI,2021_05_20_ABI_S6,230,,0.8112781244591328,16,2,0.9182958340544896,3,2,0.863120568566631,7,2
2021ABI,2021_05_20_ABI_S7,188,,0.9182958340544896,18,2,,0,0,0.961236604722876,13,2
2021ABI,2021_05_20_ABI_S8,327,,0.7642045065086203,27,2,1.0,2,2,0.6729592758523572,23,3
2021ABI,2021_05_21_ABI_S1,275,,0.0,20,1,0.7076765296822561,16,3,0.7160863263878677,18,3
