session_id,bin_sec,bin_min,n_cdp,entropy,conference
2020_11_05_NES_S1,0,0.0,3,0.9182958340544896,2020NES
2020_11_05_NES_S1,1800,30.0,5,0.7219280948873623,2020NES
2020_11_05_NES_S1,2400,40.0,2,1.0,2020NES
2020_11_05_NES_S2,0,0.0,5,0.7219280948873623,2020NES
2020_11_05_NES_S3,0,0.0,1,0.0,2020NES
2020_11_05_NES_S3,1200,20.0,1,0.0,2020NES
2020_11_05_NES_S3,2400,40.0,4,1.0,2020NES
2020_11_05_NES_S3,3000,50.0,5,0.9709505944546686,2020NES
2020_11_05_NES_S4,0,0.0,6,0.9182958340544896,2020NES
2020_11_05_NES_S4,1800,30.0,3,0.9182958340544896,2020NES
2020_11_05_NES_S4,2400,40.0,1,0.0,2020NES
2020_11_05_NES_S5,0,0.0,2,1.0,2020NES
2020_11_05_NES_S5,3000,50.0,5,0.0,2020NES
2020_11_05_NES_S6,0,0.0,2,0.0,2020NES
2020_11_05_NES_S6,600,10.0,2,1.0,2020NES
2020_11_06_NES_S1,1200,20.0,1,0.0,2020NES
2020_11_06_NES_S1,1800,30.0,1,0.0,2020NES
2020_11_06_NES_S1,2400,40.0,2,1.0,2020NES
2020_11_06_NES_S10,600,10.0,2,1.0,2020NES
2020_11_06_NES_S10,1200,20.0,2,0.0,2020NES
2020_11_06_NES_S10,2400,40.0,1,0.0,2020NES
2020_11_06_NES_S11,0,0.0,4,0.8112781244591328,2020NES
2020_11_06_NES_S11,1800,30.0,3,0.9182958340544896,2020NES
2020_11_06_NES_S11,2400,40.0,1,0.0,2020NES
2020_11_06_NES_S12,0,0.0,1,0.0,2020NES
2020_11_06_NES_S12,1200,20.0,5,0.9709505944546686,2020NES
2020_11_06_NES_S12,1800,30.0,1,0.0,2020NES
2020_11_06_NES_S12,2400,40.0,3,0.9182958340544896,2020NES
2020_11_06_NES_S2,0,0.0,5,0.9709505944546686,2020NES
2020_11_06_NES_S2,600,10.0,3,0.9182958340544896,2020NES
2020_11_06_NES_S2,1200,20.0,1,0.0,2020NES
2020_11_06_NES_S2,3000,50.0,6,0.9182958340544896,2020NES
2020_11_06_NES_S2,3600,60.0,6,1.0,2020NES
2020_11_06_NES_S3,1800,30.0,2,1.0,2020NES
2020_11_06_NES_S4,600,10.0,1,0.0,2020NES
2020_11_06_NES_S4,1800,30.0,5,0.9709505944546686,2020NES
2020_11_06_NES_S4,2400,40.0,3,0.9182958340544896,2020NES
2020_11_06_NES_S7,0,0.0,9,0.9182958340544896,2020NES
2020_11_06_NES_S7,1200,20.0,2,1.0,2020NES
2020_11_06_NES_S7,2400,40.0,1,0.0,2020NES
2020_11_06_NES_S7,3000,50.0,5,0.9709505944546686,2020NES
2020_11_06_NES_S8,0,0.0,19,0.9819407868640977,2020NES
2020_11_06_NES_S8,600,10.0,4,1.0,2020NES
2020_11_06_NES_S8,1200,20.0,1,0.0,2020NES
2020_11_06_NES_S8,1800,30.0,1,0.0,2020NES
2020_11_06_NES_S8,3000,50.0,2,0.0,2020NES
2020_11_06_NES_S8,3600,60.0,3,0.9182958340544896,2020NES
2020_11_06_NES_S9,0,0.0,11,0.9456603046006402,2020NES
2020_11_06_NES_S9,600,10.0,4,0.0,2020NES
2020_11_06_NES_S9,3000,50.0,10,0.7219280948873623,2020NES
2021_05_20_ABI_S1,0,0.0,14,0.5916727785823275,2021ABI
2021_05_20_ABI_S1,3000,50.0,9,0.7725068857142601,2021ABI
2021_05_20_ABI_S1,3600,60.0,6,0.0,2021ABI
2021_05_20_ABI_S1,4200,70.0,1,0.0,2021ABI
2021_05_20_ABI_S2,0,0.0,16,0.3372900666170139,2021ABI
2021_05_20_ABI_S2,600,10.0,8,0.8112781244591328,2021ABI
2021_05_20_ABI_S2,1200,20.0,17,0.9366673818775626,2021ABI
2021_05_20_ABI_S2,1800,30.0,1,0.0,2021ABI
2021_05_20_ABI_S2,2400,40.0,7,0.5916727785823275,2021ABI
2021_05_20_ABI_S3,0,0.0,13,0.8175195311866703,2021ABI
2021_05_20_ABI_S3,600,10.0,2,0.0,2021ABI
2021_05_20_ABI_S3,1800,30.0,3,0.9182958340544896,2021ABI
2021_05_20_ABI_S3,3000,50.0,6,1.0,2021ABI
2021_05_20_ABI_S3,3600,60.0,4,0.8112781244591328,2021ABI
2021_05_20_ABI_S3,4200,70.0,1,0.0,2021ABI
2021_05_20_ABI_S4,0,0.0,18,0.9640787648082292,2021ABI
2021_05_20_ABI_S4,600,10.0,8,0.8112781244591328,2021ABI
2021_05_20_ABI_S4,1200,20.0,2,0.0,2021ABI
2021_05_20_ABI_S4,1800,30.0,4,0.8112781244591328,2021ABI
2021_05_20_ABI_S4,2400,40.0,3,0.0,2021ABI
2021_05_20_ABI_S4,3000,50.0,11,0.8453509366224365,2021ABI
2021_05_20_ABI_S5,0,0.0,14,0.797374810639693,2021ABI
2021_05_20_ABI_S5,2400,40.0,8,0.6695919455357793,2021ABI
2021_05_20_ABI_S5,3000,50.0,13,0.7193329040881773,2021ABI
2021_05_20_ABI_S5,3600,60.0,7,0.5916727785823275,2021ABI
2021_05_20_ABI_S6,0,0.0,13,0.6193821946787638,2021ABI
2021_05_20_ABI_S6,600,10.0,3,0.9182958340544896,2021ABI
2021_05_20_ABI_S6,1200,20.0,1,0.0,2021ABI
2021_05_20_ABI_S6,1800,30.0,2,1.0,2021ABI
2021_05_20_ABI_S6,3000,50.0,1,0.0,2021ABI
2021_05_20_ABI_S6,3600,60.0,1,0.0,2021ABI
2021_05_20_ABI_S6,4200,70.0,5,0.7219280948873623,2021ABI
2021_05_20_ABI_S7,0,0.0,14,0.9852281360342516,2021ABI
2021_05_20_ABI_S7,600,10.0,4,0.0,2021ABI
2021_05_20_ABI_S7,2400,40.0,1,0.0,2021ABI
2021_05_20_ABI_S7,3000,50.0,4,0.8112781244591328,2021ABI
2021_05_20_ABI_S7,3600,60.0,5,0.9709505944546686,2021ABI
2021_05_20_ABI_S7,4200,70.0,3,0.9182958340544896,2021ABI
2021_05_20_ABI_S8,0,0.0,22,0.7732266742876346,2021ABI
2021_05_20_ABI_S8,600,10.0,5,0.7219280948873623,2021ABI
2021_05_20_ABI_S8,1800,30.0,1,0.0,2021ABI
2021_05_20_ABI_S8,3000,50.0,9,0.9910760598382222,2021ABI
2021_05_20_ABI_S8,3600,60.0,10,0.4689955935892812,2021ABI
2021_05_20_ABI_S8,4200,70.0,5,0.9709505944546686,2021ABI
2021_05_21_ABI_S1,0,0.0,12,0.0,2021ABI
2021_05_21_ABI_S1,600,10.0,8,0.0,2021ABI
2021_05_21_ABI_S1,1800,30.0,2,1.0,2021ABI
2021_05_21_ABI_S1,2400,40.0,10,0.9709505944546686,2021ABI
2021_05_21_ABI_S1,3000,50.0,6,0.0,2021ABI
2021_05_21_ABI_S1,3600,60.0,6,0.9182958340544896,2021ABI
2021_05_21_ABI_S1,4200,70.0,10,0.8173454221465102,2021ABI
2021_05_21_ABI_S10,0,0.0,10,0.4689955935892812,2021ABI
2021_05_21_ABI_S10,600,10.0,16,0.7559752426306121,2021ABI
2021_05_21_ABI_S10,1200,20.0,2,0.0,2021ABI
2021_05_21_ABI_S10,1800,30.0,4,0.8112781244591328,2021ABI
2021_05_21_ABI_S10,2400,40.0,3,0.9182958340544896,2021ABI
2021_05_21_ABI_S10,3000,50.0,9,0.9182958340544896,2021ABI
2021_05_21_ABI_S10,3600,60.0,7,0.5916727785823275,2021ABI
2021_05_21_ABI_S11,0,0.0,6,0.0,2021ABI
2021_05_21_ABI_S11,600,10.0,6,0.0,2021ABI
2021_05_21_ABI_S11,1200,20.0,1,0.0,2021ABI
2021_05_21_ABI_S11,2400,40.0,4,0.8112781244591328,2021ABI
2021_05_21_ABI_S11,3000,50.0,14,0.7559279292634754,2021ABI
2021_05_21_ABI_S11,3600,60.0,3,0.9182958340544896,2021ABI
2021_05_21_ABI_S12,0,0.0,16,0.9544340029249649,2021ABI
2021_05_21_ABI_S12,600,10.0,1,0.0,2021ABI
2021_05_21_ABI_S12,1200,20.0,1,0.0,2021ABI
2021_05_21_ABI_S12,2400,40.0,12,0.7499999999999999,2021ABI
2021_05_21_ABI_S12,3000,50.0,13,0.6193821946787638,2021ABI
2021_05_21_ABI_S12,3600,60.0,16,0.9544340029249649,2021ABI
2021_05_21_ABI_S13,0,0.0,17,0.5225593745369408,2021ABI
2021_05_21_ABI_S13,600,10.0,1,0.0,2021ABI
2021_05_21_ABI_S13,1800,30.0,2,1.0,2021ABI
2021_05_21_ABI_S13,3000,50.0,1,0.0,2021ABI
2021_05_21_ABI_S13,3600,60.0,12,0.6567045482143385,2021ABI
2021_05_21_ABI_S14,0,0.0,14,0.9852281360342516,2021ABI
2021_05_21_ABI_S14,600,10.0,1,0.0,2021ABI
2021_05_21_ABI_S14,1200,20.0,1,0.0,2021ABI
2021_05_21_ABI_S14,1800,30.0,3,0.0,2021ABI
2021_05_21_ABI_S14,2400,40.0,2,0.0,2021ABI
2021_05_21_ABI_S14,3000,50.0,6,0.920619835714305,2021ABI
2021_05_21_ABI_S14,3600,60.0,8,1.0,2021ABI
2021_05_21_ABI_S15,0,0.0,3,0.9999999999999999,2021ABI
2021_05_21_ABI_S15,600,10.0,10,0.8173454221465102,2021ABI
2021_05_21_ABI_S15,1200,20.0,1,0.0,2021ABI
2021_05_21_ABI_S15,2400,40.0,6,0.0,2021ABI
2021_05_21_ABI_S15,3000,50.0,8,0.5435644431995964,2021ABI
2021_05_21_ABI_S15,3600,60.0,3,0.0,2021ABI
2021_05_21_ABI_S16,0,0.0,15,0.44155167050817345,2021ABI
2021_05_21_ABI_S16,600,10.0,13,0.8904916402194913,2021ABI
2021_05_21_ABI_S16,1200,20.0,1,0.0,2021ABI
2021_05_21_ABI_S16,1800,30.0,3,0.9182958340544896,2021ABI
2021_05_21_ABI_S16,2400,40.0,3,0.9182958340544896,2021ABI
2021_05_21_ABI_S16,3000,50.0,9,0.7642045065086203,2021ABI
2021_05_21_ABI_S16,3600,60.0,7,0.5916727785823275,2021ABI
2021_05_21_ABI_S2,0,0.0,11,0.9940302114769565,2021ABI
2021_05_21_ABI_S2,600,10.0,1,0.0,2021ABI
2021_05_21_ABI_S2,1200,20.0,2,0.0,2021ABI
2021_05_21_ABI_S2,1800,30.0,1,0.0,2021ABI
2021_05_21_ABI_S2,2400,40.0,1,0.0,2021ABI
2021_05_21_ABI_S2,3600,60.0,10,0.7219280948873623,2021ABI
2021_05_21_ABI_S2,4200,70.0,10,0.8812908992306927,2021ABI
2021_05_21_ABI_S3,0,0.0,17,0.6853870929104108,2021ABI
2021_05_21_ABI_S3,600,10.0,3,0.0,2021ABI
2021_05_21_ABI_S3,1200,20.0,2,0.0,2021ABI
2021_05_21_ABI_S3,1800,30.0,2,0.0,2021ABI
2021_05_21_ABI_S3,2400,40.0,2,1.0,2021ABI
2021_05_21_ABI_S3,3000,50.0,4,0.8112781244591328,2021ABI
2021_05_21_ABI_S3,3600,60.0,4,0.9463946303571861,2021ABI
2021_05_21_ABI_S3,4200,70.0,2,1.0,2021ABI
2021_05_21_ABI_S4,0,0.0,5,0.7219280948873623,2021ABI
2021_05_21_ABI_S4,600,10.0,13,0.48785277138929123,2021ABI
2021_05_21_ABI_S4,1200,20.0,1,0.0,2021ABI
2021_05_21_ABI_S4,1800,30.0,1,0.0,2021ABI
2021_05_21_ABI_S4,2400,40.0,1,0.0,2021ABI
2021_05_21_ABI_S4,3600,60.0,4,0.8112781244591328,2021ABI
2021_05_21_ABI_S4,4200,70.0,3,0.9182958340544896,2021ABI
2021_05_21_ABI_S5,0,0.0,7,0.5916727785823275,2021ABI
2021_05_21_ABI_S5,600,10.0,13,0.7793498372920852,2021ABI
2021_05_21_ABI_S5,1200,20.0,1,0.0,2021ABI
2021_05_21_ABI_S5,2400,40.0,7,0.5916727785823275,2021ABI
2021_05_21_ABI_S5,3000,50.0,8,0.0,2021ABI
