session_id,n_utterances,strict_conv_utt,structural_wrap_utt,strict_conv_time_sec,structural_wrap_time_sec,total_time_sec,strict_conv_rate,structural_wrap_rate,strict_conv_time_last_third_sec,structural_wrap_time_last_third_sec,last_third_time_sec,strict_conv_rate_last_third,structural_wrap_rate_last_third,conference
2020_11_05_NES_S1,82,0,12,0.0,630.0,2163.0,0.0,0.2912621359223301,0.0,64.0,608.0,0.0,0.10526315789473684,2020NES
2020_11_05_NES_S2,67,0,3,0.0,53.0,1825.0,0.0,0.02904109589041096,0.0,0.0,580.0,0.0,0.0,2020NES
2020_11_05_NES_S3,45,0,5,0.0,203.0,1619.0,0.0,0.12538604076590487,0.0,58.0,625.0,0.0,0.0928,2020NES
2020_11_05_NES_S4,41,0,4,0.0,279.0,1084.0,0.0,0.257380073800738,0.0,189.0,467.0,0.0,0.40471092077087795,2020NES
2020_11_05_NES_S5,28,0,3,0.0,102.0,606.0,0.0,0.16831683168316833,0.0,20.0,56.0,0.0,0.35714285714285715,2020NES
2020_11_05_NES_S6,23,0,7,0.0,431.0,770.0,0.0,0.5597402597402598,0.0,93.0,117.0,0.0,0.7948717948717948,2020NES
2020_11_06_NES_S1,56,0,5,0.0,252.0,1818.0,0.0,0.13861386138613863,0.0,171.0,534.0,0.0,0.3202247191011236,2020NES
2020_11_06_NES_S10,71,0,11,0.0,426.0,2236.0,0.0,0.19051878354203935,0.0,161.0,494.0,0.0,0.3259109311740891,2020NES
2020_11_06_NES_S11,86,0,6,0.0,157.0,2313.0,0.0,0.06787721573713791,0.0,64.0,963.0,0.0,0.06645898234683281,2020NES
2020_11_06_NES_S12,89,0,18,0.0,1191.0,2890.0,0.0,0.4121107266435986,0.0,235.0,943.0,0.0,0.2492046659597031,2020NES
2020_11_06_NES_S2,77,1,12,37.0,354.0,1873.0,0.019754404698344902,0.18900160170848906,0.0,75.0,870.0,0.0,0.08620689655172414,2020NES
2020_11_06_NES_S3,38,0,2,0.0,110.0,730.0,0.0,0.1506849315068493,0.0,26.0,137.0,0.0,0.1897810218978102,2020NES
2020_11_06_NES_S4,88,0,10,0.0,505.0,2320.0,0.0,0.21767241379310345,0.0,325.0,948.0,0.0,0.34282700421940926,2020NES
2020_11_06_NES_S7,80,0,9,0.0,83.0,1795.0,0.0,0.046239554317548746,0.0,52.0,727.0,0.0,0.07152682255845942,2020NES
2020_11_06_NES_S8,120,0,13,0.0,365.0,1637.0,0.0,0.22296884544899206,0.0,58.0,610.0,0.0,0.09508196721311475,2020NES
2020_11_06_NES_S9,160,0,10,0.0,234.0,2896.0,0.0,0.08080110497237569,0.0,38.0,1196.0,0.0,0.03177257525083612,2020NES
2021_05_20_ABI_S1,121,0,18,0.0,357.0,2069.0,0.0,0.17254712421459642,0.0,32.0,1003.0,0.0,0.031904287138584245,2021ABI
2021_05_20_ABI_S2,287,0,23,0.0,517.0,3347.0,0.0,0.15446668658500148,0.0,161.0,853.0,0.0,0.18874560375146543,2021ABI
2021_05_20_ABI_S3,151,0,20,0.0,839.0,3649.0,0.0,0.22992600712523978,0.0,318.0,1076.0,0.0,0.2955390334572491,2021ABI
2021_05_20_ABI_S4,228,0,25,0.0,554.0,3110.0,0.0,0.17813504823151124,0.0,206.0,1001.0,0.0,0.2057942057942058,2021ABI
2021_05_20_ABI_S5,235,0,32,0.0,503.0,3297.0,0.0,0.15256293600242646,0.0,260.0,998.0,0.0,0.2605210420841683,2021ABI
2021_05_20_ABI_S6,230,0,24,0.0,1137.0,3374.0,0.0,0.3369887374036752,0.0,312.0,1161.0,0.0,0.268733850129199,2021ABI
2021_05_20_ABI_S7,188,0,27,0.0,742.0,3585.0,0.0,0.20697350069735007,0.0,280.0,1089.0,0.0,0.2571166207529844,2021ABI
2021_05_20_ABI_S8,327,0,38,0.0,390.0,2766.0,0.0,0.14099783080260303,0.0,102.0,825.0,0.0,0.12363636363636364,2021ABI
2021_05_21_ABI_S1,275,0,27,0.0,893.0,3367.0,0.0,0.2652212652212652,0.0,303.0,941.0,0.0,0.32199787460148777,2021ABI
2021_05_21_ABI_S10,215,1,9,10.0,333.0,3032.0,0.0032981530343007917,0.10982849604221635,0.0,106.0,867.0,0.0,0.12226066897347174,2021ABI
2021_05_21_ABI_S11,190,0,16,0.0,620.0,3236.0,0.0,0.1915945611866502,0.0,330.0,846.0,0.0,0.3900709219858156,2021ABI
2021_05_21_ABI_S12,267,0,23,0.0,480.0,3478.0,0.0,0.13801035077630822,0.0,283.0,1121.0,0.0,0.25245316681534347,2021ABI
2021_05_21_ABI_S13,219,0,13,0.0,608.0,3459.0,0.0,0.17577334489736918,0.0,62.0,1043.0,0.0,0.059443911792905084,2021ABI
2021_05_21_ABI_S14,189,0,12,0.0,391.0,2942.0,0.0,0.13290278721957852,0.0,77.0,838.0,0.0,0.09188544152744631,2021ABI
2021_05_21_ABI_S15,255,0,20,0.0,642.0,3236.0,0.0,0.1983930778739184,0.0,349.0,850.0,0.0,0.41058823529411764,2021ABI
2021_05_21_ABI_S16,235,0,17,0.0,442.0,2927.0,0.0,0.1510078578749573,0.0,68.0,995.0,0.0,0.06834170854271357,2021ABI
2021_05_21_ABI_S2,174,0,36,0.0,1580.0,4227.0,0.0,0.3737875561864206,0.0,552.0,1357.0,0.0,0.4067796610169492,2021ABI
2021_05_21_ABI_S3,232,0,19,0.0,595.0,3714.0,0.0,0.1602046311254712,0.0,115.0,1194.0,0.0,0.09631490787269682,2021ABI
