conference,feature,n_sessions,n_funded,n_unfunded,funded_mean,unfunded_mean,mean_diff,cohens_d,spearman_any_funded,spearman_funded_rate
2020NES,cross_speaker_weight_ratio,16,8,8,0.7369839981507424,0.7016382446107239,0.035345753540018565,0.27408383821855636,0.2169304578186562,0.11551041658501753
2021ABI,cross_speaker_weight_ratio,18,10,8,0.7788107616187634,0.7758271154883101,0.0029836461304533213,0.07557697025134927,-0.08619942318412312,-0.261842298388074
2021CMC,cross_speaker_weight_ratio,18,11,7,0.7899134345924178,0.7699332105870643,0.019980224005353486,0.5743297234001066,0.38439882188165225,0.12026648454387175
2021MND,cross_speaker_weight_ratio,23,5,18,0.755945427967476,0.7884180764661092,-0.03247264849863318,-0.3724760196654996,-0.3813850356982369,-0.556352723841686
2021MZT,cross_speaker_weight_ratio,15,8,7,0.7620762217902244,0.7382176834412469,0.023858538348977443,0.6031669671423383,0.3092947870658709,0.25499128223943074
2021NES,cross_speaker_weight_ratio,15,10,5,0.7601928135351776,0.7851650255778634,-0.024972212042685737,-0.2970751749464057,-0.032732683535398856,-0.343898777327892
2021SLU,cross_speaker_weight_ratio,20,10,10,0.7642027011212205,0.781258824914475,-0.017056123793254496,-0.4015831210999892,-0.2081063926857888,0.011589780499190747
2022MND,cross_speaker_weight_ratio,11,6,5,0.7088660891913596,0.7805987627295657,-0.07173267353820612,-1.980040844223224,-0.8660254037844386,-0.7966275068156915
2020NES,late_minus_early_backlink,16,8,8,0.9629601456832841,1.2193708140525563,-0.2564106683692722,-0.34762673153024853,-0.1084652289093281,-0.13823377722469313
2021ABI,late_minus_early_backlink,18,10,8,1.0148814018646386,1.1208550776494812,-0.10597367578484262,-0.2493762204443809,-0.10774927898015389,-0.12110206300448421
2021CMC,late_minus_early_backlink,18,11,7,2.205952167848264,1.9166040855576836,0.2893480822905805,0.37723737637575705,0.16474235223499384,0.10308555818046149
2021MND,late_minus_early_backlink,23,5,18,1.2278969482245958,1.0782808680853593,0.14961608013923655,0.27379770723599767,0.14301938838683886,0.19184576684196064
2021MZT,late_minus_early_backlink,15,8,7,1.651750338467823,1.2698699038630252,0.3818804346047977,0.8718141727229675,0.49487165930539345,0.23412835914711372
2021NES,late_minus_early_backlink,15,10,5,2.2637379298203246,1.8696608094743827,0.3940771203459419,0.43150994244150226,0.26186146828319085,0.09195154474007806
2021SLU,late_minus_early_backlink,20,10,10,1.7992666365675596,2.0233904181175246,-0.22412378154996504,-0.3959407426836921,-0.2254485920762712,-0.5305543961851764
2022MND,late_minus_early_backlink,11,6,5,1.8681421904858568,1.8683076026949386,-0.00016541220908172782,-0.00027526681328973816,0.05773502691896258,0.2993388207428659
2020NES,mean_nonzero_weight,16,8,8,0.1772984700263036,0.1814188296474718,-0.00412035962116819,-0.19686833652104194,-0.08134892168199608,0.0416594945060719
2021ABI,mean_nonzero_weight,18,10,8,0.18620480678770904,0.1885801434178831,-0.0023753366301740575,-0.10629667164012366,-0.08619942318412312,-0.04036735433482807
2021CMC,mean_nonzero_weight,18,11,7,0.19155170004581568,0.20373286417523598,-0.012181164129420302,-0.647221748802276,-0.2526049400936572,-0.3339542561887867
2021MND,mean_nonzero_weight,23,5,18,0.1812701307181391,0.18103658592696528,0.0002335447911738231,0.008726619482067538,0.22247460415730486,0.27497893247347693
2021MZT,mean_nonzero_weight,15,8,7,0.17137689380035356,0.17401031710245782,-0.002633423302104254,-0.217908954869841,-0.18557687223952254,-0.21558353862060964
2021NES,mean_nonzero_weight,15,10,5,0.19871611523662444,0.17984441596339834,0.0188716992732261,0.4762916667025253,0.26186146828319085,0.43952838385757315
2021SLU,mean_nonzero_weight,20,10,10,0.16819586333036687,0.17587550397012439,-0.007679640639757512,-0.7354508243928597,-0.3641861872001304,-0.17899772104305708
2022MND,mean_nonzero_weight,11,6,5,0.18107266453263218,0.1750185147213495,0.006054149811282689,0.37119936103415274,0.28867513459481287,0.34761927570139267
2020NES,overall_link_entropy,16,8,8,31.32956018677548,39.41378718550709,-8.084226998731609,-0.3498746147515474,-0.08134892168199608,-0.14202100399797238
2021ABI,overall_link_entropy,18,10,8,33.35426825581135,37.05188328967006,-3.6976150338587104,-0.3313208405474535,-0.10774927898015389,-0.1440132641134407
