example_group,conference,session_id_norm,meeting_id,n_chunks,n_moves,mean_nonzero_weight,weighted_ldi,cross_speaker_weight_ratio,overall_link_entropy,funded_rate,any_funded
high,2020NES,2020_11_05_NES_S1,output_2020_11_05_NES_S1__1_DAC_Simulations_Zoom_Meeting_2020_11_05_12_09_10,2,25.0,0.4348913533989568,0.0347913082719165,0.2053479793538683,1.074985524614411,0.0,0.0
high,2021MND,2021_04_23_MND_S1,output_2021_04_23_MND_S1__Bot_5_Zoom_Meeting_4_23_2021_12_10_03_PM,2,27.0,0.3806979497171738,0.042299772190797,0.9804534996761116,1.1853853174606808,0.0,0.0
high,2021MND,2021_04_22_MND_S8,output_2021_04_22_MND_S8__Zoom_Meeting_Room_6_2021_04_22_13_00_55,1,25.0,0.3623235044622634,0.0579717607139621,1.0,1.7862691697541055,0.0,0.0
high,2021NES,2021_11_04_NES_S6,output_2021_11_04_NES_S6__B6_2021_11_04_12_32_03,4,94.0,0.3249326534764605,0.8054181729788861,0.5362142587755113,30.813171370064843,1.0,1.0
high,2020NES,2020_11_06_NES_S10,output_2020_11_06_NES_S10__4_frontiers_in_echem_Zoom_Meeting_2020_11_06_12_23_32,3,39.0,0.3090804852230633,0.0634011251739617,0.2954016542102051,2.3738059018392126,,0.0
high,2021MND,2021_04_22_MND_S6,output_2021_04_22_MND_S6__Breakout_Room_4_Part_1_2021_04_22_12_58_44,2,27.0,0.2820142903898888,0.031334921154432,1.0,1.164783430390529,,0.0
high,2021MND,2021_04_23_MND_S8,output_2021_04_23_MND_S8__Zoom_Meeting_Room_6_2021_04_23_12_09_42,1,33.0,0.2533280326476813,0.0230298211497892,0.1545010445186324,0.7930340907342345,,0.0
high,2020NES,2020_11_06_NES_S1,output_2020_11_06_NES_S1__1_CO2_DAC_2_Zoom_Meeting_2020_11_06_10_48_29,3,46.0,0.2509762927317929,0.147312171820835,0.5986703531184966,5.163088268699566,0.5,1.0
high,2020NES,2020_11_05_NES_S4,output_2020_11_05_NES_S4__4_Beyond_CO2_Zoom_Meeting_2020_11_05_11_59_04,2,32.0,0.2475289591860698,0.0309411198982587,0.7955621993779696,1.2280461411859536,1.0,1.0
high,2021CMC,2021_10_08_CMC_S9,output_2021_10_08_CMC_S9__B1_Zoom_Meeting_Room_1_2021_10_08_13_01_59,8,270.0,0.2470570926264976,1.9837769511638772,0.7789083612446034,82.28061687506994,0.0,0.0
low,2020NES,2020_11_05_NES_S6,output_2020_11_05_NES_S6__6_Theory_and_Expt_Zoom_Meeting_2020_11_05_10_09_14,2,17.0,0.0,0.0,0.0,0.0,0.0,0.0
low,2021MND,2021_04_22_MND_S7,output_2021_04_22_MND_S7__Room_5_Zoom_Meeting_4_22_2021_1_01_43_PM,2,28.0,0.0297153969581351,0.0021225283541525,1.0,0.1129156948715305,0.0,0.0
low,2020NES,2020_11_05_NES_S5,output_2020_11_05_NES_S5__5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_11_58_06_AM,2,24.0,0.0971511130623842,0.004047963044266,1.0,0.1645678077098576,1.0,1.0
low,2020NES,2020_11_06_NES_S1,output_2020_11_06_NES_S1__Zoom_Meeting_2020_11_06_10_17_47,4,47.0,0.1158720041884109,0.103545195232197,0.6898990754536931,4.57597312871651,0.5,1.0
low,2020NES,2020_11_05_NES_S6,output_2020_11_05_NES_S6__6_Theory_and_Expt_Zoom_Meeting_2020_11_05_10_48_43,3,51.0,0.1375727172611271,0.1267827002210387,0.5942556736568784,5.78753402912072,0.0,0.0
low,2021MND,2021_04_23_MND_S4,output_2021_04_23_MND_S4__bot3_Room_3_Zoom_Meeting_2021_04_23_12_09_57,2,43.0,0.1399363265174717,0.0748496630209732,0.8096727874928503,3.115770213076115,,0.0
low,2021MND,2021_04_23_MND_S8,output_2021_04_23_MND_S8__Zoom_Meeting_Room_6_2021_04_23_11_22_11,5,67.0,0.1419065229548257,0.3727693737320795,0.6499226115185401,16.333223629620036,,0.0
low,2021MND,2021_04_22_MND_S3,output_2021_04_22_MND_S3__Bot3_Zoom_Meeting_2021_04_22_13_05_56_v2,8,131.0,0.1520847396744122,1.0634322255096305,0.7812729110920318,43.67956020605473,0.0,0.0
low,2020NES,2020_11_06_NES_S10,output_2020_11_06_NES_S10__4_frontiers_in_echem_Zoom_Meeting_2020_11_06_12_52_00,3,91.0,0.1544869179152355,0.5228787990977204,0.6701663210780094,23.744230648339695,,0.0
low,2021MND,2021_04_23_MND_S4,output_2021_04_23_MND_S4__bot3_Zoom_Meeting_2021_04_23_11_16_26,6,111.0,0.1545387756074843,0.545758558902107,0.6427235177712224,24.44602723788539,,0.0
