conference,session_id,meeting_id,chunk_index,chunk_file,n_moves,threshold,similarity_method,n_possible_links,n_nonzero_links,total_link_weight,weighted_ldi,mean_nonzero_weight,forelink_weight_mean,backlink_weight_mean,cross_speaker_weight_ratio,late_minus_early_backlink,forelink_entropy,backlink_entropy,horizon_entropy,overall_link_entropy
2020NES,output_2020_11_05_NES_S1,output_2020_11_05_NES_S1__1_DAC_Simulations_Zoom_Meeting_2020_11_05_12_09_10,1,2020NES/output_2020_11_05_NES_S1/1_DAC_Simulations_Zoom_Meeting_2020_11_05_12_09_10/1_DAC_Simulations_Zoom_Meeting_2020_11_05_12_09_10_chunk1.json,16.0,0.35,lsa,120.0,4.0,0.7831524166851527,0.04894702604282204,0.19578810417128817,0.04894702604282204,0.04894702604282204,1.0,0.09789405208564408,0.5100753627725864,0.49409680405352696,0.4318336684884063,1.4360058353145198
2020NES,output_2020_11_05_NES_S1,output_2020_11_05_NES_S1__1_DAC_Simulations_Zoom_Meeting_2020_11_05_12_09_10,2,2020NES/output_2020_11_05_NES_S1/1_DAC_Simulations_Zoom_Meeting_2020_11_05_12_09_10/1_DAC_Simulations_Zoom_Meeting_2020_11_05_12_09_10_chunk2.json,9.0,0.35,lsa,36.0,3.0,0.9822146758667798,0.10913496398519776,0.32740489195559325,0.10913496398519776,0.10913496398519776,0.6771925977443594,0.19644293517335595,0.9662742328916762,0.5372904649475754,1.0016206857132026,2.5051853835524542
2020NES,output_2020_11_05_NES_S1,output_2020_11_05_NES_S1__1_DAC_Simulations_Zoom_Meeting_2020_11_05_12_24_10,1,2020NES/output_2020_11_05_NES_S1/1_DAC_Simulations_Zoom_Meeting_2020_11_05_12_24_10/1_DAC_Simulations_Zoom_Meeting_2020_11_05_12_24_10_chunk1.json,31.0,0.35,lsa,465.0,4.0,1.1734856450009878,0.03785437564519316,0.29337141125024696,0.03785437564519316,0.03785437564519316,0.001448416923288427,0.09779047041674899,0.4207407218046986,0.28030064144528155,0.4069380993895149,1.107979462639495
2020NES,output_2020_11_05_NES_S1,output_2020_11_05_NES_S1__1_DAC_Simulations_Zoom_Meeting_2020_11_05_12_24_10,2,2020NES/output_2020_11_05_NES_S1/1_DAC_Simulations_Zoom_Meeting_2020_11_05_12_24_10/1_DAC_Simulations_Zoom_Meeting_2020_11_05_12_24_10_chunk2.json,29.0,0.35,lsa,406.0,5.0,2.2501941116179696,0.07759290040061964,0.45003882232359393,0.07759290040061964,0.07759290040061964,0.7539922262348974,0.17915838905694215,1.0483879416554034,0.6920394350401494,0.7805106508665155,2.5209380275620683
2020NES,output_2020_11_05_NES_S1,output_2020_11_05_NES_S1__1_DAC_Simulations_Zoom_Meeting_2020_11_05_12_24_10,3,2020NES/output_2020_11_05_NES_S1/1_DAC_Simulations_Zoom_Meeting_2020_11_05_12_24_10/1_DAC_Simulations_Zoom_Meeting_2020_11_05_12_24_10_chunk3.json,17.0,0.35,lsa,136.0,2.0,0.40444402950393077,0.023790825264937105,0.20222201475196538,0.023790825264937105,0.023790825264937105,1.0,-0.0343715150634775,0.17892460474036095,0.6930825971440214,0.2414065728580756,1.113413774742458
2020NES,output_2020_11_05_NES_S1,output_2020_11_05_NES_S1__1_DAC_Simulations_Zoom_Meeting_2020_11_05_12_24_10,4,2020NES/output_2020_11_05_NES_S1/1_DAC_Simulations_Zoom_Meeting_2020_11_05_12_24_10/1_DAC_Simulations_Zoom_Meeting_2020_11_05_12_24_10_chunk4.json,19.0,0.35,lsa,171.0,1.0,0.5120628122238566,0.0269506743275714,0.5120628122238566,0.0269506743275714,0.0269506743275714,1.0,0.08534380203730944,0.291499220905413,0.23948578988680247,0.22636635048190112,0.7573513612741166
2020NES,output_2020_11_05_NES_S1,output_2020_11_05_NES_S1__1_DAC_Simulations_Zoom_Meeting_2020_11_05_12_24_10,5,2020NES/output_2020_11_05_NES_S1/1_DAC_Simulations_Zoom_Meeting_2020_11_05_12_24_10/1_DAC_Simulations_Zoom_Meeting_2020_11_05_12_24_10_chunk5.json,23.0,0.35,lsa,253.0,1.0,1.0,0.043478260869565216,1.0,0.043478260869565216,0.043478260869565216,1.0,0.07142857142857142,0.41381685030363374,0.41381685030363374,0.2761954276479391,1.1038291282552066
2020NES,output_2020_11_05_NES_S1,output_2020_11_05_NES_S1__1_DAC_Simulations_Zoom_Meeting_2020_11_05_12_24_10,6,2020NES/output_2020_11_05_NES_S1/1_DAC_Simulations_Zoom_Meeting_2020_11_05_12_24_10/1_DAC_Simulations_Zoom_Meeting_2020_11_05_12_24_10_chunk6.json,6.0,0.35,lsa,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020NES,output_2020_11_05_NES_S2,output_2020_11_05_NES_S2__2020_11_05_11_57_33,1,2020NES/output_2020_11_05_NES_S2/2020_11_05_11_57_33/2020_11_05_11_57_33_chunk1.json,33.0,0.35,lsa,528.0,13.0,4.3371575357487515,0.13142901623481065,0.33362750274990394,0.13142901623481065,0.13142901623481068,0.09673385045577554,0.009390534467957547,1.3984189803829057,1.4567167444578575,1.2993146409606582,4.154450365801422
2020NES,output_2020_11_05_NES_S2,output_2020_11_05_NES_S2__2020_11_05_11_57_33,2,2020NES/output_2020_11_05_NES_S2/2020_11_05_11_57_33/2020_11_05_11_57_33_chunk2.json,24.0,0.35,lsa,276.0,4.0,1.1248460414725112,0.046868585061354634,0.2812115103681278,0.04686858506135463,0.04686858506135463,0.5619485483300753,0.0,0.5579622562391933,0.5255809054952022,0.4924069399977451,1.5759501017321405
2020NES,output_2020_11_05_NES_S2,output_2020_11_05_NES_S2__2020_11_05_11_57_33,3,2020NES/output_2020_11_05_NES_S2/2020_11_05_11_57_33/2020_11_05_11_57_33_chunk3.json,14.0,0.35,lsa,91.0,3.0,0.3819695351688441,0.027283538226346004,0.12732317838961468,0.027283538226346004,0.027283538226346004,1.0,0.01204452473313238,0.24642559466861647,0.39722082015111404,0.2637860491593584,0.9074324639790889
2020NES,output_2020_11_05_NES_S2,output_2020_11_05_NES_S2__2020_11_05_11_57_33,4,2020NES/output_2020_11_05_NES_S2/2020_11_05_11_57_33/2020_11_05_11_57_33_chunk4.json,22.0,0.35,lsa,231.0,4.0,0.5846058559594475,0.026572993452702157,0.14615146398986187,0.026572993452702157,0.026572993452702157,0.7487790464867101,-0.044954334296131666,0.26232784890131106,0.4342570145319557,0.288502179494872,0.9850870429281388
2020NES,output_2020_11_05_NES_S2,output_2020_11_05_NES_S2__2020_11_05_11_57_33,5,2020NES/output_2020_11_05_NES_S2/2020_11_05_11_57_33/2020_11_05_11_57_33_chunk5.json,7.0,0.35,lsa,21.0,3.0,0.9393579702414637,0.13419399574878052,0.31311932341382126,0.13419399574878052,0.13419399574878052,1.0,0.31199641713093623,1.0354283532390864,0.797536648363093,0.9420930612810527,2.7750580628832324
2020NES,output_2020_11_05_NES_S2,output_2020_11_05_NES_S2__2020_11_05_11_57_33,6,2020NES/output_2020_11_05_NES_S2/2020_11_05_11_57_33/2020_11_05_11_57_33_chunk6.json,17.0,0.35,lsa,136.0,1.0,0.3611295356508924,0.0212429138618172,0.3611295356508924,0.0212429138618172,0.0212429138618172,1.0,0.040125503961210264,0.18312933783841331,0.17284413866860737,0.32819177206883554,0.6841652485758563
2020NES,output_2020_11_05_NES_S2,output_2020_11_05_NES_S2__2020_11_05_11_57_33,7,2020NES/output_2020_11_05_NES_S2/2020_11_05_11_57_33/2020_11_05_11_57_33_chunk7.json,9.0,0.35,lsa,36.0,1.0,0.3212496122774614,0.03569440136416238,0.3212496122774614,0.03569440136416238,0.03569440136416238,1.0,0.0,0.34408944695567967,0.4032790063798582,0.24300790949618356,0.9903763628317214
2020NES,output_2020_11_05_NES_S2,output_2020_11_05_NES_S2__2020_11_05_11_57_33,8,2020NES/output_2020_11_05_NES_S2/2020_11_05_11_57_33/2020_11_05_11_57_33_chunk8.json,15.0,0.35,lsa,105.0,2.0,0.6232346938218605,0.04154897958812403,0.31161734691093024,0.04154897958812403,0.04154897958812403,0.7008146853950893,0.0,0.2945656486092191,0.8705378376111497,0.30873933122734376,1.4738428174477125
2020NES,output_2020_11_05_NES_S3,output_2020_11_05_NES_S3__3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44,1,2020NES/output_2020_11_05_NES_S3/3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44/3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk1.json,19.0,0.35,lsa,171.0,2.0,0.7906482064382988,0.04161306349675257,0.3953241032191494,0.04161306349675257,0.04161306349675257,0.717446621151376,0.07906482064382989,0.6553522805851602,0.3285737962169907,0.35464258401275184,1.3385686608149028
2020NES,output_2020_11_05_NES_S3,output_2020_11_05_NES_S3__3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44,2,2020NES/output_2020_11_05_NES_S3/3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44/3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk2.json,23.0,0.35,lsa,253.0,1.0,0.9985585073832309,0.04341558727753178,0.9985585073832309,0.04341558727753178,0.04341558727753178,1.0,0.0998558507383231,0.2971558016045068,0.28609071038378,0.6494642813877165,1.2327107933760033
2020NES,output_2020_11_05_NES_S3,output_2020_11_05_NES_S3__3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44,3,2020NES/output_2020_11_05_NES_S3/3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44/3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk3.json,14.0,0.35,lsa,91.0,2.0,0.08437924343202538,0.006027088816573241,0.04218962171601269,0.006027088816573241,0.006027088816573241,1.0,0.012326884402823465,0.09412248573415216,0.06673654430902744,0.09391984014129034,0.25477887018446993
2020NES,output_2020_11_05_NES_S3,output_2020_11_05_NES_S3__3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44,4,2020NES/output_2020_11_05_NES_S3/3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44/3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk4.json,23.0,0.35,lsa,253.0,4.0,0.2311946682733437,0.01005194209884103,0.057798667068335925,0.01005194209884103,0.01005194209884103,1.0,0.0089528160693476,0.1429924558508214,0.18941878888009445,0.12063556338300932,0.45304680811392517
2020NES,output_2020_11_05_NES_S3,output_2020_11_05_NES_S3__3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44,5,2020NES/output_2020_11_05_NES_S3/3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44/3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk5.json,11.0,0.35,lsa,55.0,1.0,0.15513030263731425,0.014102754785210387,0.15513030263731425,0.014102754785210387,0.014102754785210387,0.0,-0.038782575659328564,0.11544521147728787,0.3935411987617539,0.12563075704710053,0.6346171672861423
2020NES,output_2020_11_05_NES_S3,output_2020_11_05_NES_S3__3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44,6,2020NES/output_2020_11_05_NES_S3/3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44/3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk6.json,36.0,0.35,lsa,630.0,14.0,3.650402907577811,0.1014000807660503,0.2607430648269865,0.10140008076605028,0.1014000807660503,0.8540394211718146,0.15255687080760674,2.153415980605805,1.3171260845616113,0.9002472249227887,4.3707892900902054
2020NES,output_2020_11_05_NES_S4,output_2020_11_05_NES_S4__4_Beyond_CO2_Zoom_Meeting_2020_11_05_11_59_04,1,2020NES/output_2020_11_05_NES_S4/4_Beyond_CO2_Zoom_Meeting_2020_11_05_11_59_04/4_Beyond_CO2_Zoom_Meeting_2020_11_05_11_59_04_chunk1.json,23.0,0.35,lsa,253.0,2.0,0.8190437971540272,0.03561059987626205,0.4095218985770136,0.03561059987626205,0.03561059987626205,1.0,0.07445852701400248,0.8573338380784181,0.28751199297494,0.3002023746391311,1.4450482056924894
2020NES,output_2020_11_05_NES_S4,output_2020_11_05_NES_S4__4_Beyond_CO2_Zoom_Meeting_2020_11_05_11_59_04,2,2020NES/output_2020_11_05_NES_S4/4_Beyond_CO2_Zoom_Meeting_2020_11_05_11_59_04/4_Beyond_CO2_Zoom_Meeting_2020_11_05_11_59_04_chunk2.json,9.0,0.35,lsa,36.0,2.0,0.46005500232859575,0.051117222480955085,0.23002750116429788,0.051117222480955085,0.051117222480955085,0.5305885230103332,0.09201100046571915,0.5213672984207425,0.5551064940602758,0.44405688948485644,1.5205306819658746
2020NES,output_2020_11_05_NES_S4,output_2020_11_05_NES_S4__4_Beyond_CO2_Zoom_Meeting_2020_11_05_12_17_00,1,2020NES/output_2020_11_05_NES_S4/4_Beyond_CO2_Zoom_Meeting_2020_11_05_12_17_00/4_Beyond_CO2_Zoom_Meeting_2020_11_05_12_17_00_chunk1.json,10.0,0.35,lsa,45.0,2.0,0.42680467398899846,0.04268046739889984,0.21340233699449923,0.04268046739889984,0.04268046739889984,0.736577487799331,0.028107489860292385,0.3312917527527508,0.5038078749422589,0.4238692453834695,1.2589688730784792
2020NES,output_2020_11_05_NES_S4,output_2020_11_05_NES_S4__4_Beyond_CO2_Zoom_Meeting_2020_11_05_12_17_00,2,2020NES/output_2020_11_05_NES_S4/4_Beyond_CO2_Zoom_Meeting_2020_11_05_12_17_00/4_Beyond_CO2_Zoom_Meeting_2020_11_05_12_17_00_chunk2.json,14.0,0.35,lsa,91.0,3.0,0.1319979401444437,0.009428424296031692,0.04399931338148123,0.009428424296031692,0.009428424296031692,0.5728550610384434,0.015497074265764223,0.10924529041035007,0.14859560050493298,0.17112835050642444,0.4289692414217075
2020NES,output_2020_11_05_NES_S4,output_2020_11_05_NES_S4__4_Beyond_CO2_Zoom_Meeting_2020_11_05_12_17_00,3,2020NES/output_2020_11_05_NES_S4/4_Beyond_CO2_Zoom_Meeting_2020_11_05_12_17_00/4_Beyond_CO2_Zoom_Meeting_2020_11_05_12_17_00_chunk3.json,22.0,0.35,lsa,231.0,4.0,0.7367251737262439,0.03348750789664745,0.18418129343156098,0.03348750789664745,0.03348750789664745,0.7860019655631326,0.07247718910183508,0.5500256096755879,0.3398880547093939,0.30178691687650416,1.191700581261486
2020NES,output_2020_11_05_NES_S4,output_2020_11_05_NES_S4__4_Beyond_CO2_Zoom_Meeting_2020_11_05_12_17_00,4,2020NES/output_2020_11_05_NES_S4/4_Beyond_CO2_Zoom_Meeting_2020_11_05_12_17_00/4_Beyond_CO2_Zoom_Meeting_2020_11_05_12_17_00_chunk4.json,29.0,0.35,lsa,406.0,3.0,0.5677566261712214,0.019577814695559356,0.18925220872374046,0.019577814695559356,0.019577814695559356,0.0,-0.04628405521520656,0.20817119433423645,0.6753639028705981,0.16922831609493594,1.0527634132997705
2020NES,output_2020_11_05_NES_S4,output_2020_11_05_NES_S4__4_Beyond_CO2_Zoom_Meeting_2020_11_05_12_17_00,5,2020NES/output_2020_11_05_NES_S4/4_Beyond_CO2_Zoom_Meeting_2020_11_05_12_17_00/4_Beyond_CO2_Zoom_Meeting_2020_11_05_12_17_00_chunk5.json,19.0,0.35,lsa,171.0,2.0,0.10003651800151162,0.0052650798948164,0.05001825900075581,0.0052650798948164,0.0052650798948164,0.4089158361694945,0.010003651800151161,0.06399063462158008,0.06878667174096775,0.14389571630006698,0.27667302266261484
2020NES,output_2020_11_05_NES_S4,output_2020_11_05_NES_S4__4_Beyond_CO2_Zoom_Meeting_2020_11_05_12_17_00,6,2020NES/output_2020_11_05_NES_S4/4_Beyond_CO2_Zoom_Meeting_2020_11_05_12_17_00/4_Beyond_CO2_Zoom_Meeting_2020_11_05_12_17_00_chunk6.json,10.0,0.35,lsa,45.0,1.0,0.9976749531568812,0.09976749531568811,0.9976749531568812,0.09976749531568811,0.09976749531568811,0.0,0.19953499063137622,0.9175188679375977,0.5427479817965256,0.5427479817965256,2.003014831530649
