conference,session_id,meeting_id,n_chunks,n_moves,threshold,similarity_method,n_possible_links,n_nonzero_links,total_link_weight,weighted_ldi,mean_nonzero_weight,forelink_weight_mean,backlink_weight_mean,cross_speaker_weight_ratio,late_minus_early_backlink,forelink_entropy,backlink_entropy,horizon_entropy,overall_link_entropy,session_id_norm,meeting_base,registry_session_key,funded_rate,any_funded,n_teams,registry_rows,registry_num_teams,registry_num_funded_teams,registry_any_funded,registry_has_teams,registry_funded_rate,funded_rate_entropy,any_funded_entropy,n_teams_entropy,num_funded_teams,outcome_source
2020NES,output_2020_11_05_NES_S1,output_2020_11_05_NES_S1__1_DAC_Simulations_Zoom_Meeting_2020_11_05_12_09_10,2,25.0,0.35,lsa,300.0,2.0,0.8697827067979136,0.0347913082719165,0.4348913533989568,0.0347913082719165,0.0347913082719165,0.2053479793538683,0.0223260151647362,0.4540103999592796,0.3409009384563797,0.2800741861987517,1.074985524614411,2020_11_05_NES_S1,1_DAC_Simulations_Zoom_Meeting_2020_11_05_12_09_10,2020_11_05_NES_S1/1_DAC_Simulations_Zoom_Meeting_2020_11_05_12_09_10,0.0,0.0,1.0,8.0,1.0,0.0,0.0,True,0.0,0.0,0.0,1.0,0.0,chunk_registry_v1
2020NES,output_2020_11_05_NES_S1,output_2020_11_05_NES_S1__1_DAC_Simulations_Zoom_Meeting_2020_11_05_12_24_10,6,125.0,0.35,lsa,7750.0,725.0,116.1270042217135,0.929016033773708,0.1601751782368462,0.929016033773708,0.929016033773708,0.7819870978202882,0.986319777091166,13.123829113227634,12.846309944767436,12.508699455484928,38.47883851348,2020_11_05_NES_S1,1_DAC_Simulations_Zoom_Meeting_2020_11_05_12_24_10,2020_11_05_NES_S1/1_DAC_Simulations_Zoom_Meeting_2020_11_05_12_24_10,0.0,0.0,1.0,8.0,1.0,0.0,0.0,True,0.0,0.0,0.0,1.0,0.0,chunk_registry_v1
2020NES,output_2020_11_05_NES_S2,output_2020_11_05_NES_S2__2020_11_05_11_57_33,8,141.0,0.35,lsa,9870.0,1008.0,169.3540733511633,1.2010927188025764,0.1680099934039318,1.2010927188025764,1.2010927188025764,0.7913886635956311,1.5252589094154168,16.087596606265137,16.850499499710992,16.235113392103216,49.173209498079345,2020_11_05_NES_S2,2020_11_05_11_57_33,2020_11_05_NES_S2/2020_11_05_11_57_33,0.0,0.0,3.0,8.0,3.0,0.0,0.0,True,0.0,0.0,0.0,3.0,0.0,chunk_registry_v1
2020NES,output_2020_11_05_NES_S3,output_2020_11_05_NES_S3__3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44,6,126.0,0.35,lsa,7875.0,609.0,100.3628312128841,0.7965304064514611,0.1647993944382333,0.796530406451461,0.7965304064514612,0.8063114361172253,0.946798398040004,12.256982960418958,11.674578142348103,11.15078960130195,35.082350704069015,2020_11_05_NES_S3,3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44,2020_11_05_NES_S3/3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44,0.3333333333333333,1.0,3.0,7.0,3.0,1.0,1.0,True,0.3333333333333333,0.3333333333333333,1.0,3.0,1.0,chunk_registry_v1
2020NES,output_2020_11_05_NES_S4,output_2020_11_05_NES_S4__4_Beyond_CO2_Zoom_Meeting_2020_11_05_11_59_04,2,32.0,0.35,lsa,496.0,4.0,0.9901158367442792,0.0309411198982587,0.2475289591860698,0.0309411198982587,0.0309411198982587,0.7955621993779696,0.0618822397965174,0.7200130759488854,0.2336454494432763,0.2743876157937917,1.2280461411859536,2020_11_05_NES_S4,4_Beyond_CO2_Zoom_Meeting_2020_11_05_11_59_04,2020_11_05_NES_S4/4_Beyond_CO2_Zoom_Meeting_2020_11_05_11_59_04,1.0,1.0,1.0,12.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,1.0,chunk_registry_v1
2020NES,output_2020_11_05_NES_S4,output_2020_11_05_NES_S4__4_Beyond_CO2_Zoom_Meeting_2020_11_05_12_17_00,6,104.0,0.35,lsa,5356.0,459.0,74.84187473249565,0.7196334108893813,0.163054193316984,0.7196334108893813,0.7196334108893813,0.7234762606083444,0.989447020985338,10.32618383784208,9.909306638848818,10.34509177612574,30.58058225281664,2020_11_05_NES_S4,4_Beyond_CO2_Zoom_Meeting_2020_11_05_12_17_00,2020_11_05_NES_S4/4_Beyond_CO2_Zoom_Meeting_2020_11_05_12_17_00,1.0,1.0,1.0,12.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,1.0,chunk_registry_v1
2020NES,output_2020_11_05_NES_S5,output_2020_11_05_NES_S5__5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_11_58_06_AM,2,24.0,0.35,lsa,276.0,1.0,0.0971511130623842,0.004047963044266,0.0971511130623842,0.004047963044266,0.004047963044266,1.0,0.0,0.0564028870022993,0.0597386240898373,0.0484262966177209,0.1645678077098576,2020_11_05_NES_S5,5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_11_58_06_AM,2020_11_05_NES_S5/5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_11_58_06_AM,1.0,1.0,1.0,10.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,1.0,chunk_registry_v1
2020NES,output_2020_11_05_NES_S5,output_2020_11_05_NES_S5__5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_12_19_34_PM,6,120.0,0.35,lsa,7140.0,601.0,93.90549627228415,0.7825458022690347,0.1562487458773447,0.7825458022690347,0.7825458022690348,0.8381671186353945,1.269509118618006,12.17704700786126,11.79323750194122,10.791471693846288,34.761756203648766,2020_11_05_NES_S5,5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_12_19_34_PM,2020_11_05_NES_S5/5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_12_19_34_PM,1.0,1.0,1.0,10.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,1.0,chunk_registry_v1
2020NES,output_2020_11_05_NES_S6,output_2020_11_05_NES_S6__6_Theory_and_Expt_Zoom_Meeting_2020_11_05_10_09_14,2,17.0,0.35,lsa,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020_11_05_NES_S6,6_Theory_and_Expt_Zoom_Meeting_2020_11_05_10_09_14,2020_11_05_NES_S6/6_Theory_and_Expt_Zoom_Meeting_2020_11_05_10_09_14,0.0,0.0,2.0,11.0,2.0,0.0,0.0,True,0.0,0.0,0.0,2.0,0.0,chunk_registry_v1
2020NES,output_2020_11_05_NES_S6,output_2020_11_05_NES_S6__6_Theory_and_Expt_Zoom_Meeting_2020_11_05_10_28_39,3,50.0,0.35,lsa,1225.0,24.0,4.637412564143032,0.0927482512828606,0.1932255235059596,0.0927482512828606,0.0927482512828606,0.4769236379298253,0.1611382110945582,1.145035079931552,1.1884566519822124,1.158385294406215,3.4918770263199796,2020_11_05_NES_S6,6_Theory_and_Expt_Zoom_Meeting_2020_11_05_10_28_39,2020_11_05_NES_S6/6_Theory_and_Expt_Zoom_Meeting_2020_11_05_10_28_39,0.0,0.0,2.0,11.0,2.0,0.0,0.0,True,0.0,0.0,0.0,2.0,0.0,chunk_registry_v1
2020NES,output_2020_11_05_NES_S6,output_2020_11_05_NES_S6__6_Theory_and_Expt_Zoom_Meeting_2020_11_05_10_48_43,3,51.0,0.35,lsa,1275.0,47.0,6.465917711272976,0.1267827002210387,0.1375727172611271,0.1267827002210387,0.1267827002210387,0.5942556736568784,0.085796868665621,1.890259494511873,2.0112442192559983,1.8860303153528488,5.78753402912072,2020_11_05_NES_S6,6_Theory_and_Expt_Zoom_Meeting_2020_11_05_10_48_43,2020_11_05_NES_S6/6_Theory_and_Expt_Zoom_Meeting_2020_11_05_10_48_43,0.0,0.0,2.0,11.0,2.0,0.0,0.0,True,0.0,0.0,0.0,2.0,0.0,chunk_registry_v1
2020NES,output_2020_11_06_NES_S1,output_2020_11_06_NES_S1__1_CO2_DAC_2_Zoom_Meeting_2020_11_06_10_48_29,3,46.0,0.35,lsa,1035.0,27.0,6.77635990375841,0.147312171820835,0.2509762927317929,0.1473121718208349,0.147312171820835,0.5986703531184966,0.0386214737792057,1.765028544422765,1.8705619799875348,1.5274977442892657,5.163088268699566,2020_11_06_NES_S1,1_CO2_DAC_2_Zoom_Meeting_2020_11_06_10_48_29,2020_11_06_NES_S1/1_CO2_DAC_2_Zoom_Meeting_2020_11_06_10_48_29,0.5,1.0,2.0,9.0,2.0,1.0,1.0,True,0.5,0.5,1.0,2.0,1.0,chunk_registry_v1
2020NES,output_2020_11_06_NES_S1,output_2020_11_06_NES_S1__Zoom_Meeting_2020_11_06_10_17_47,4,47.0,0.35,lsa,1081.0,42.0,4.866624175913259,0.103545195232197,0.1158720041884109,0.1035451952321969,0.103545195232197,0.6898990754536931,0.1835558237951312,1.9285451202989432,1.3904016770044163,1.25702633141315,4.57597312871651,2020_11_06_NES_S1,Zoom_Meeting_2020_11_06_10_17_47,2020_11_06_NES_S1/Zoom_Meeting_2020_11_06_10_17_47,0.5,1.0,2.0,9.0,2.0,1.0,1.0,True,0.5,0.5,1.0,2.0,1.0,chunk_registry_v1
2020NES,output_2020_11_06_NES_S10,output_2020_11_06_NES_S10__4_frontiers_in_echem_Zoom_Meeting_2020_11_06_12_23_32,3,39.0,0.35,lsa,741.0,8.0,2.4726438817845064,0.0634011251739617,0.3090804852230633,0.0634011251739617,0.0634011251739617,0.2954016542102051,0.1780101653980004,0.8644965157655244,0.5781949443923,0.9311144416813882,2.3738059018392126,2020_11_06_NES_S10,4_frontiers_in_echem_Zoom_Meeting_2020_11_06_12_23_32,2020_11_06_NES_S10/4_frontiers_in_echem_Zoom_Meeting_2020_11_06_12_23_32,,0.0,0.0,9.0,0.0,0.0,0.0,False,,,,,0.0,chunk_registry_v1
