session_id,n_speakers_with_cdp,n_speakers_total,speaker_participation_cdp,total_cdp_score1,total_cdp_score2,gini_score1,gini_score2,conference,any_funded,funded_rate
2021_10_08_CMC_S14,4,11,0.3636363636363636,46,16,0.3152173913043479,0.4375,2021CMC,1.0,0.5
2021_06_10_SLU_S1,8,16,0.5,30,18,0.4499999999999999,0.5185185185185186,2021SLU,1.0,0.3333333333333333
2021_06_10_SLU_S2,7,11,0.6363636363636364,17,14,0.4705882352941177,0.2857142857142858,2021SLU,1.0,0.5
2021_04_23_MND_S11,4,8,0.5,28,5,0.3035714285714286,0.3,2021MND,1.0,0.3333333333333333
2021_06_10_SLU_S4,6,13,0.4615384615384615,25,14,0.4479999999999999,0.3142857142857143,2021SLU,1.0,1.0
2021_06_10_SLU_S5,7,11,0.6363636363636364,35,13,0.5476190476190474,0.4000000000000001,2021SLU,1.0,0.5
2021_04_22_MND_S4,9,15,0.6,23,11,0.3961352657004831,0.4848484848484848,2021MND,1.0,1.0
2021_06_11_SLU_S1,8,13,0.6153846153846154,26,16,0.4903846153846154,0.3333333333333335,2021SLU,1.0,0.3333333333333333
2021_04_22_MND_S1,8,12,0.6666666666666666,39,12,0.63003663003663,0.4333333333333333,2021MND,1.0,1.0
2021_06_11_SLU_S11,5,11,0.4545454545454545,27,11,0.4296296296296296,0.3636363636363637,2021SLU,1.0,0.5
2021_10_08_CMC_S5,7,15,0.4666666666666667,34,18,0.4352941176470588,0.4814814814814814,2021CMC,1.0,0.6666666666666666
2021_10_08_CMC_S4,5,11,0.4545454545454545,26,7,0.5538461538461539,0.2142857142857142,2021CMC,1.0,1.0
2021_10_08_CMC_S3,5,14,0.3571428571428571,23,7,0.6086956521739131,0.0,2021CMC,1.0,1.0
2021_06_11_SLU_S3,5,10,0.5,23,7,0.5565217391304349,0.2142857142857142,2021SLU,1.0,1.0
2021_11_04_NES_S6,9,17,0.5294117647058824,23,14,0.4927536231884057,0.4523809523809523,2021NES,1.0,1.0
2021_10_08_CMC_S13,7,14,0.5,43,14,0.5714285714285714,0.4285714285714286,2021CMC,1.0,0.3333333333333333
