session_id,has_facilitator,facilitator_cdp_score1,facilitator_cdp_score2,non_facilitator_cdp_score1,non_facilitator_cdp_score2,conference
2020_11_05_NES_S1,0,0,0,7,3,2020NES
2020_11_05_NES_S2,0,0,0,1,4,2020NES
2020_11_05_NES_S3,0,0,0,6,5,2020NES
2020_11_05_NES_S4,0,0,0,7,3,2020NES
2020_11_05_NES_S5,0,0,0,6,1,2020NES
2020_11_05_NES_S6,0,0,0,0,3,2020NES
2020_11_06_NES_S1,0,0,0,3,1,2020NES
2020_11_06_NES_S10,0,0,0,4,1,2020NES
2020_11_06_NES_S11,0,0,0,6,2,2020NES
2020_11_06_NES_S12,0,0,0,7,2,2020NES
2020_11_06_NES_S2,0,0,0,11,10,2020NES
2020_11_06_NES_S3,0,0,0,1,1,2020NES
2020_11_06_NES_S4,0,0,0,4,4,2020NES
2020_11_06_NES_S7,0,0,0,11,6,2020NES
2020_11_06_NES_S8,0,0,0,16,14,2020NES
2020_11_06_NES_S9,0,0,0,19,6,2020NES
2021_05_20_ABI_S1,0,0,0,24,5,2021ABI
2021_05_20_ABI_S2,0,0,0,35,13,2021ABI
2021_05_20_ABI_S3,0,0,0,14,14,2021ABI
2021_05_20_ABI_S4,0,0,0,33,13,2021ABI
2021_05_20_ABI_S5,0,0,0,29,10,2021ABI
2021_05_20_ABI_S6,0,0,0,18,8,2021ABI
2021_05_20_ABI_S7,0,0,0,17,14,2021ABI
2021_05_20_ABI_S8,0,0,0,38,12,2021ABI
2021_05_21_ABI_S1,0,0,0,43,9,2021ABI
2021_05_21_ABI_S10,0,0,0,38,12,2021ABI
2021_05_21_ABI_S11,0,0,0,27,6,2021ABI
2021_05_21_ABI_S12,0,0,0,41,17,2021ABI
2021_05_21_ABI_S13,0,0,0,26,6,2021ABI
2021_05_21_ABI_S14,0,0,0,18,16,2021ABI
2021_05_21_ABI_S15,0,0,0,23,5,2021ABI
2021_05_21_ABI_S16,0,0,0,39,11,2021ABI
2021_05_21_ABI_S2,0,0,0,24,12,2021ABI
2021_05_21_ABI_S3,0,0,0,25,9,2021ABI
2021_05_21_ABI_S4,0,0,0,23,4,2021ABI
2021_05_21_ABI_S5,0,0,0,53,7,2021ABI
2021_05_21_ABI_S6,0,0,0,32,7,2021ABI
2021_05_21_ABI_S7,0,0,0,22,9,2021ABI
2021_05_21_ABI_S8,0,0,0,18,6,2021ABI
2021_05_21_ABI_S9,0,0,0,27,10,2021ABI
output-2021-05-20-ABI-S1,0,0,0,7,6,2021ABI
2021_10_07_CMC_S1,0,0,0,29,14,2021CMC
2021_10_07_CMC_S2,0,0,0,18,6,2021CMC
2021_10_07_CMC_S3,0,0,0,17,13,2021CMC
2021_10_07_CMC_S4,0,0,0,17,10,2021CMC
2021_10_07_CMC_S5,0,0,0,21,5,2021CMC
2021_10_07_CMC_S6,0,0,0,18,9,2021CMC
2021_10_07_CMC_S7,0,0,0,11,4,2021CMC
2021_10_08_CMC_S1,0,0,0,31,14,2021CMC
2021_10_08_CMC_S10,0,0,0,17,9,2021CMC
2021_10_08_CMC_S11,0,0,0,16,16,2021CMC
2021_10_08_CMC_S12,0,0,0,14,4,2021CMC
2021_10_08_CMC_S13,0,0,0,43,14,2021CMC
2021_10_08_CMC_S14,0,0,0,46,16,2021CMC
2021_10_08_CMC_S2,0,0,0,18,7,2021CMC
2021_10_08_CMC_S3,0,0,0,23,7,2021CMC
2021_10_08_CMC_S4,0,0,0,26,7,2021CMC
2021_10_08_CMC_S5,0,0,0,34,18,2021CMC
2021_10_08_CMC_S6,0,0,0,22,15,2021CMC
2021_10_08_CMC_S7,0,0,0,21,8,2021CMC
2021_10_08_CMC_S8,0,0,0,21,12,2021CMC
2021_10_08_CMC_S9,0,0,0,19,9,2021CMC
2021_04_22_MND_S1,0,0,0,39,12,2021MND
2021_04_22_MND_S3,0,0,0,8,4,2021MND
2021_04_22_MND_S4,0,0,0,23,11,2021MND
2021_04_22_MND_S5,0,0,0,14,10,2021MND
2021_04_22_MND_S6,0,0,0,29,14,2021MND
2021_04_22_MND_S7,0,0,0,21,9,2021MND
2021_04_22_MND_S8,0,0,0,13,3,2021MND
2021_04_23_MND_S1,0,0,0,23,4,2021MND
2021_04_23_MND_S10,0,0,0,31,3,2021MND
2021_04_23_MND_S11,0,0,0,28,5,2021MND
2021_04_23_MND_S12,0,0,0,11,5,2021MND
2021_04_23_MND_S13,0,0,0,35,7,2021MND
2021_04_23_MND_S14,0,0,0,31,8,2021MND
2021_04_23_MND_S15,0,0,0,30,12,2021MND
2021_04_23_MND_S16,0,0,0,19,6,2021MND
2021_04_23_MND_S2,0,0,0,34,6,2021MND
2021_04_23_MND_S3,0,0,0,14,3,2021MND
2021_04_23_MND_S4,0,0,0,24,10,2021MND
2021_04_23_MND_S5,0,0,0,30,7,2021MND
2021_04_23_MND_S6,0,0,0,25,7,2021MND
2021_04_23_MND_S7,0,0,0,32,2,2021MND
2021_04_23_MND_S8,0,0,0,16,12,2021MND
2021_04_23_MND_S9,0,0,0,8,4,2021MND
2021_09_30_MZT_S2,0,0,0,6,3,2021MZT
2021_09_30_MZT_S3,0,0,0,23,5,2021MZT
2021_09_30_MZT_S4,0,0,0,18,2,2021MZT
2021_09_30_MZT_S5,0,0,0,15,4,2021MZT
2021_09_30_MZT_S6,0,0,0,6,4,2021MZT
2021_09_30_MZT_S7,0,0,0,54,23,2021MZT
2021_10_01_MZT_S1,0,0,0,18,7,2021MZT
2021_10_01_MZT_S11,0,0,0,23,8,2021MZT
2021_10_01_MZT_S2,0,0,0,20,9,2021MZT
2021_10_01_MZT_S3,0,0,0,26,19,2021MZT
2021_10_01_MZT_S4,0,0,0,35,11,2021MZT
2021_10_01_MZT_S5,0,0,0,33,12,2021MZT
2021_10_01_MZT_S7,0,0,0,23,5,2021MZT
2021_10_01_MZT_S8,0,0,0,25,6,2021MZT
2021_10_01_MZT_S9,0,0,0,26,15,2021MZT
2021_11_04_NES_S1,0,0,0,14,16,2021NES
2021_11_04_NES_S2,0,0,0,13,6,2021NES
2021_11_04_NES_S3,0,0,0,49,19,2021NES
2021_11_04_NES_S4,0,0,0,29,8,2021NES
2021_11_04_NES_S5,0,0,0,22,9,2021NES
2021_11_04_NES_S6,0,0,0,23,14,2021NES
2021_11_05_NES_S1,0,0,0,72,15,2021NES
2021_11_05_NES_S10,0,0,0,38,10,2021NES
2021_11_05_NES_S11,0,0,0,26,15,2021NES
2021_11_05_NES_S12,0,0,0,30,14,2021NES
2021_11_05_NES_S2,0,0,0,32,12,2021NES
2021_11_05_NES_S3,0,0,0,57,14,2021NES
2021_11_05_NES_S4,0,0,0,51,25,2021NES
2021_11_05_NES_S5,0,0,0,39,25,2021NES
2021_11_05_NES_S6,0,0,0,57,20,2021NES
2021_11_05_NES_S7,0,0,0,49,12,2021NES
2021_11_05_NES_S8,0,0,0,29,14,2021NES
2021_11_05_NES_S9,0,0,0,32,18,2021NES
2021_06_10_SLU_S1,0,0,0,30,18,2021SLU
2021_06_10_SLU_S2,0,0,0,17,14,2021SLU
2021_06_10_SLU_S3,0,0,0,31,17,2021SLU
2021_06_10_SLU_S4,0,0,0,25,14,2021SLU
