session_id,n_utterances,time_pressure_total,decision_closure_total,time_pressure_cdp,decision_closure_cdp,time_pressure_beginning,decision_closure_beginning,time_pressure_middle,decision_closure_middle,time_pressure_end,decision_closure_end,conference
2020_11_05_NES_S1,82,0,2,0,0,0,0,0,1,0,1,2020NES
2020_11_05_NES_S2,67,0,2,0,0,0,0,0,1,0,1,2020NES
2020_11_05_NES_S3,45,0,0,0,0,0,0,0,0,0,0,2020NES
2020_11_05_NES_S4,41,0,1,0,1,0,0,0,0,0,1,2020NES
2020_11_05_NES_S5,28,1,0,1,0,0,0,0,0,1,0,2020NES
2020_11_05_NES_S6,23,0,0,0,0,0,0,0,0,0,0,2020NES
2020_11_06_NES_S1,56,1,2,1,1,0,0,0,1,1,1,2020NES
2020_11_06_NES_S10,71,0,2,0,0,0,1,0,0,0,1,2020NES
2020_11_06_NES_S11,86,0,3,0,0,0,1,0,2,0,0,2020NES
2020_11_06_NES_S12,89,0,2,0,0,0,1,0,0,0,1,2020NES
2020_11_06_NES_S2,77,1,4,1,3,0,3,0,0,1,1,2020NES
2020_11_06_NES_S3,38,0,0,0,0,0,0,0,0,0,0,2020NES
2020_11_06_NES_S4,88,0,1,0,0,0,0,0,0,0,1,2020NES
2020_11_06_NES_S7,80,0,2,0,0,0,0,0,0,0,2,2020NES
2020_11_06_NES_S8,120,0,2,0,2,0,2,0,0,0,0,2020NES
2020_11_06_NES_S9,160,0,3,0,2,0,2,0,1,0,0,2020NES
2021_05_20_ABI_S1,121,2,2,2,2,0,2,0,0,2,0,2021ABI
2021_05_20_ABI_S2,287,0,1,0,1,0,1,0,0,0,0,2021ABI
2021_05_20_ABI_S3,151,2,3,1,2,1,0,0,1,1,2,2021ABI
2021_05_20_ABI_S4,228,0,1,0,1,0,1,0,0,0,0,2021ABI
2021_05_20_ABI_S5,235,1,0,1,0,0,0,0,0,1,0,2021ABI
2021_05_20_ABI_S6,230,0,2,0,0,0,1,0,1,0,0,2021ABI
2021_05_20_ABI_S7,188,2,5,1,3,1,2,0,0,1,3,2021ABI
2021_05_20_ABI_S8,327,1,0,1,0,0,0,0,0,1,0,2021ABI
2021_05_21_ABI_S1,275,2,2,2,0,0,1,0,1,2,0,2021ABI
2021_05_21_ABI_S10,215,2,5,2,4,0,1,0,1,2,3,2021ABI
2021_05_21_ABI_S11,190,0,1,0,1,0,1,0,0,0,0,2021ABI
2021_05_21_ABI_S12,267,2,2,2,1,1,0,0,0,1,2,2021ABI
2021_05_21_ABI_S13,219,1,2,1,1,0,0,0,1,1,1,2021ABI
2021_05_21_ABI_S14,189,0,1,0,1,0,0,0,0,0,1,2021ABI
2021_05_21_ABI_S15,255,0,2,0,1,0,1,0,0,0,1,2021ABI
2021_05_21_ABI_S16,235,1,2,1,2,0,0,1,1,0,1,2021ABI
2021_05_21_ABI_S2,174,1,1,1,0,1,0,0,0,0,1,2021ABI
2021_05_21_ABI_S3,232,1,0,1,0,0,0,0,0,1,0,2021ABI
2021_05_21_ABI_S4,259,0,3,0,1,0,1,0,1,0,1,2021ABI
2021_05_21_ABI_S5,298,1,6,1,3,0,5,1,0,0,1,2021ABI
2021_05_21_ABI_S6,288,2,1,2,0,1,0,0,1,1,0,2021ABI
2021_05_21_ABI_S7,139,0,0,0,0,0,0,0,0,0,0,2021ABI
2021_05_21_ABI_S8,237,1,3,1,0,0,0,1,2,0,1,2021ABI
2021_05_21_ABI_S9,174,0,1,0,1,0,0,0,0,0,1,2021ABI
output-2021-05-20-ABI-S1,39,0,1,0,1,0,1,0,0,0,0,2021ABI
2021_10_07_CMC_S1,203,1,3,0,2,0,1,1,0,0,2,2021CMC
2021_10_07_CMC_S2,121,0,0,0,0,0,0,0,0,0,0,2021CMC
2021_10_07_CMC_S3,169,1,0,1,0,0,0,1,0,0,0,2021CMC
2021_10_07_CMC_S4,187,2,0,2,0,1,0,0,0,1,0,2021CMC
2021_10_07_CMC_S5,174,1,1,0,1,0,0,1,0,0,1,2021CMC
2021_10_07_CMC_S6,176,1,2,1,1,0,1,1,0,0,1,2021CMC
2021_10_07_CMC_S7,131,1,1,1,0,0,0,1,0,0,1,2021CMC
2021_10_08_CMC_S1,177,1,1,1,1,0,0,0,0,1,1,2021CMC
2021_10_08_CMC_S10,182,1,2,1,0,0,1,0,1,1,0,2021CMC
2021_10_08_CMC_S11,179,0,5,0,5,0,2,0,0,0,3,2021CMC
2021_10_08_CMC_S12,126,0,0,0,0,0,0,0,0,0,0,2021CMC
2021_10_08_CMC_S13,195,0,5,0,4,0,2,0,0,0,3,2021CMC
2021_10_08_CMC_S14,258,0,4,0,2,0,3,0,0,0,1,2021CMC
2021_10_08_CMC_S2,180,0,0,0,0,0,0,0,0,0,0,2021CMC
2021_10_08_CMC_S3,169,1,4,1,2,0,2,0,1,1,1,2021CMC
2021_10_08_CMC_S4,151,1,4,1,4,0,1,1,1,0,2,2021CMC
2021_10_08_CMC_S5,195,1,1,1,1,0,0,0,0,1,1,2021CMC
2021_10_08_CMC_S6,167,0,4,0,3,0,2,0,0,0,2,2021CMC
2021_10_08_CMC_S7,151,0,1,0,0,0,1,0,0,0,0,2021CMC
2021_10_08_CMC_S8,173,1,2,1,2,1,0,0,0,0,2,2021CMC
2021_10_08_CMC_S9,184,0,1,0,1,0,1,0,0,0,0,2021CMC
2021_04_22_MND_S1,199,0,4,0,2,0,2,0,1,0,1,2021MND
2021_04_22_MND_S2,1,0,0,0,0,0,0,0,0,0,0,2021MND
2021_04_22_MND_S3,163,0,2,0,1,0,1,0,1,0,0,2021MND
2021_04_22_MND_S4,240,0,2,0,1,0,1,0,0,0,1,2021MND
2021_04_22_MND_S5,222,1,0,1,0,0,0,0,0,1,0,2021MND
2021_04_22_MND_S6,228,1,2,1,1,0,0,1,2,0,0,2021MND
2021_04_22_MND_S7,187,1,4,1,1,0,1,1,3,0,0,2021MND
2021_04_22_MND_S8,201,1,2,1,0,0,1,1,1,0,0,2021MND
2021_04_23_MND_S1,153,1,0,1,0,0,0,0,0,1,0,2021MND
2021_04_23_MND_S10,223,1,3,1,2,0,2,1,0,0,1,2021MND
2021_04_23_MND_S11,214,0,0,0,0,0,0,0,0,0,0,2021MND
2021_04_23_MND_S12,193,1,1,1,0,0,0,0,1,1,0,2021MND
2021_04_23_MND_S13,209,2,3,2,2,0,1,1,0,1,2,2021MND
